--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
234,Onyeka Okongwu,30.9,ATL,1,6,2020,Southern California,2020-21,2025-26,20-25,381,139,0,30.9,128,113,19.9,11.0,.161,0.1,0.5,0.6,6.0,17.9,10.5,20.7,15.5,9.4,1.5,3.9,11.6,16.3,C-F,ATL,okongon01
235,Richaun Holmes,30.7,PHI,2,37,2015,Bowling Green,2015-16,2024-25,22-31,489,178,0,30.7,125,111,21.3,9.4,.158,-0.1,0.2,0.1,5.0,18.5,9.9,20.7,15.3,7.9,1.3,4.1,11.1,16.7,C-F,DALPHIPHOSACWAS,holmeri01
236,Andris Biedriņš,30.7,GSW,1,11,2004,,2004-05,2013-14,18-27,516,311,0,30.7,117,105,16.7,14.0,.132,-1.1,0.7,-0.4,4.6,15.3,11.5,24.5,17.9,6.1,1.5,3.8,14.9,12.4,C,GSWUTA,biedran01
237,Gorgui Dieng,30.7,UTA,1,21,2013,Louisville,2013-14,2022-23,24-33,628,209,0,30.7,113,108,17.0,13.7,.117,-0.4,0.7,0.2,7.1,16.2,9.2,22.4,15.7,9.8,1.8,3.6,14.6,16.2,C,ATLMEMMINSAS,dienggo01
238,Terry Rozier,30.6,BOS,1,16,2015,Louisville,2015-16,2024-25,21-30,665,381,0,30.6,109,113,13.8,16.8,.080,0.6,-0.4,0.2,10.1,14.7,2.6,13.0,7.7,19.8,1.6,0.8,9.4,22.6,G,BOSCHOMIA,roziete01
239,Alperen Şengün,30.5,OKC,1,16,2021,,2021-22,2025-26,19-23,358,296,2,30.5,116,112,16.5,14.0,.140,1.8,1.2,3.1,13.4,20.4,10.7,21.3,16.0,24.1,1.7,2.8,14.8,24.8,C-F,HOU,sengual01
240,Evan Fournier,30.5,DEN,1,20,2012,,2012-13,2023-24,20-31,704,504,0,30.5,108,112,17.0,13.5,.075,-0.4,-0.7,-1.1,4.3,13.5,1.5,9.1,5.2,14.3,1.6,0.5,11.2,21.6,G-F,BOSDENDETNYKORL,fournev01
241,Marco Belinelli,30.5,GSW,1,18,2007,,2007-08,2019-20,21-33,860,219,0,30.5,107,111,18.0,12.5,.075,-0.5,-0.8,-1.3,3.3,12.2,1.1,9.0,5.1,11.3,1.3,0.3,10.0,19.4,G-F,ATLCHICHOGSWNOHPHISACSASTOR,belinma01
242,Ronnie Brewer,30.4,UTA,1,14,2006,Arkansas,2006-07,2013-14,21-28,502,304,0,30.4,112,104,14.6,15.9,.127,-0.2,1.8,1.6,10.6,14.4,4.7,9.8,7.3,10.9,2.8,0.8,9.6,15.8,G-F,CHIHOUMEMNYKOKCUTA,brewero02
243,Zion Williamson,30.3,NOH,1,1,2019,Duke,2019-20,2025-26,19-25,276,269,2,30.3,121,115,22.6,7.7,.170,4.4,0.0,4.5,14.1,24.6,7.8,14.8,11.3,22.8,1.6,1.9,12.3,29.5,F-C,NOP,willizi01
244,Kris Humphries,30.3,UTA,1,14,2004,Minnesota,2004-05,2016-17,19-31,800,203,0,30.3,106,105,13.1,17.2,.102,-1.1,-0.5,-1.7,1.2,15.4,11.2,24.3,17.6,6.5,1.2,2.5,11.7,18.9,F-C,ATLBOSBRKDALNJNPHOTORUTAWAS,humphkr01
245,Jaren Jackson Jr.,30.2,MEM,1,4,2018,Michigan State,2018-19,2025-26,19-26,455,446,2,30.2,110,110,11.0,19.2,.111,0.0,0.8,0.8,9.2,17.9,4.8,16.0,10.3,8.5,1.7,5.9,10.6,26.2,F,MEMUTA,jacksja02
246,C.J. Miles,30.1,UTA,2,34,2005,,2005-06,2021-22,18-34,849,303,0,30.1,105,108,14.1,16.0,.084,-0.1,-0.3,-0.4,6.9,13.1,2.4,10.9,6.7,8.5,1.8,1.2,8.7,21.6,G-F,BOSCLEINDMEMTORUTAWAS,milescj01
247,Shaun Livingston,29.9,LAC,1,4,2004,,2004-05,2018-19,19-33,833,191,0,29.9,106,108,13.8,16.1,.084,-1.5,0.5,-1.0,4.3,12.5,3.3,9.8,6.6,21.8,1.7,1.4,17.3,15.6,G,BRKCHACLEGSWLACMIAMILOKCWAS,livinsh01
248,Brandon Jennings,29.9,MIL,1,10,2009,,2009-10,2017-18,20-28,555,429,0,29.9,104,108,15.2,14.7,.085,1.3,-0.5,0.8,11.8,15.7,2.1,9.1,5.5,30.2,2.1,0.5,13.3,23.9,G,DETMILNYKORLWAS,jennibr01
249,DeMarre Carroll,29.5,MEM,1,27,2009,Missouri,2009-10,2019-20,23-33,578,339,0,29.5,110,108,15.5,14.1,.104,-0.2,0.2,0.0,6.7,13.3,5.4,14.6,10.0,8.1,1.9,0.9,9.5,16.9,F,ATLBRKDENHOUMEMSASTORUTA,carrode01
250,Jalen Duren,29.5,CHA,1,13,2022,Memphis,2022-23,2025-26,19-22,276,239,1,29.5,130,112,19.0,10.6,.190,1.5,0.5,2.0,7.5,21.1,14.3,28.3,21.3,11.5,1.2,3.2,15.0,18.3,C,DET,durenja01
251,Payton Pritchard,29.4,BOS,1,26,2020,Oregon,2020-21,2025-26,23-28,426,67,0,29.4,124,115,19.7,9.7,.148,1.7,-0.2,1.5,8.5,15.5,3.8,10.5,7.2,19.4,1.3,0.5,9.3,19.0,G,BOS,pritcpa01
252,Michael Porter Jr.,29.4,DEN,1,14,2018,Missouri,2019-20,2025-26,21-27,397,343,0,29.4,118,115,18.0,11.4,.120,2.3,-1.3,1.0,8.9,17.5,5.3,19.3,12.4,8.5,1.1,1.7,8.6,22.6,F,BRKDEN,portemi01
253,Steve Blake,29.1,WAS,2,38,2003,Maryland,2003-04,2015-16,23-35,870,347,0,29.1,106,110,16.6,12.5,.067,-0.7,-0.5,-1.2,4.2,11.1,1.4,8.6,5.0,25.1,1.5,0.2,18.4,14.5,G,DENDETGSWLACLALMILPORWAS,blakest01
254,Donte DiVincenzo,29.1,MIL,1,17,2018,Villanova,2018-19,2025-26,22-29,498,282,0,29.1,114,111,11.9,17.2,.107,0.1,0.9,1.0,10.1,13.4,3.7,13.4,8.7,15.7,2.2,1.0,12.9,17.9,G,GSWMILMINNYKSAC,divindo01
255,Wilson Chandler,29.0,NYK,1,23,2007,DePaul,2007-08,2019-20,20-32,676,483,0,29.0,106,111,15.2,13.7,.069,-0.7,-0.7,-1.3,3.5,12.8,4.2,15.4,9.7,9.2,1.2,1.6,10.4,19.1,F,BRKDENLACNYKPHI,chandwi01
256,Chandler Parsons,28.9,HOU,2,38,2011,Florida,2011-12,2019-20,23-31,440,369,0,28.9,110,108,17.5,11.4,.105,1.0,0.0,1.1,10.2,14.7,3.1,13.6,8.4,14.6,1.6,0.9,11.6,19.0,F,ATLDALHOUMEM,parsoch01
257,Delon Wright,28.9,TOR,1,20,2015,Utah,2015-16,2024-25,23-32,548,92,0,28.9,117,110,15.5,13.5,.124,0.0,1.9,1.9,11.1,15.1,4.2,11.9,8.1,20.2,2.9,1.4,12.5,14.9,G,ATLDALDETMEMMIAMILNYKSACTORWAS,wrighde01
258,Ramon Sessions,28.8,MIL,2,56,2007,Nevada,2007-08,2017-18,21-31,691,146,0,28.8,107,111,20.5,8.3,.086,0.3,-1.0,-0.7,5.2,15.9,2.4,10.8,6.5,28.8,1.5,0.3,14.9,22.0,G,CHACHOCLELALMILMINNYKSACWAS,sessira01
259,Buddy Hield,28.7,NOH,1,6,2016,Oklahoma,2016-17,2025-26,24-33,765,437,0,28.7,109,115,14.8,14.0,.066,1.3,-1.1,0.2,11.7,14.3,2.8,13.3,8.0,13.1,1.5,1.0,11.0,22.4,G-F,ATLGSWINDNOPPHISAC,hieldbu01
260,Rodney Stuckey,28.7,DET,1,15,2007,Eastern Washington,2007-08,2016-17,21-30,651,302,0,28.7,105,110,17.0,11.7,.077,-0.3,-0.6,-0.9,4.9,14.9,2.7,9.9,6.2,21.9,1.7,0.4,12.9,23.4,G,DETIND,stuckro01
261,Tyreke Evans,28.4,SAC,1,4,2009,Memphis,2009-10,2018-19,20-29,594,426,0,28.4,104,109,15.0,13.4,.075,1.1,-0.3,0.8,13.1,17.1,3.1,14.0,8.5,26.3,2.0,1.0,14.1,25.6,G-F,INDMEMNOPSAC,evansty01
262,Robert Williams,28.3,BOS,1,27,2018,Texas A&M,2018-19,2025-26,21-28,294,101,0,28.3,140,104,16.5,11.9,.236,1.7,3.0,4.6,9.6,22.0,13.8,24.3,19.1,9.7,1.8,7.5,15.0,12.6,C-F,BOSPOR,williro04
263,Nerlens Noel,28.3,NOH,1,6,2013,Kentucky,2014-15,2022-23,20-28,467,223,0,28.3,109,101,8.7,19.6,.132,-1.8,2.7,0.9,7.4,16.5,9.3,21.0,15.0,7.8,2.8,5.7,16.9,14.9,C-F,BRKDALDETNYKOKCPHI,noelne01
264,Kosta Koufos,28.3,UTA,1,23,2008,Ohio State,2008-09,2018-19,19-29,686,228,0,28.3,111,105,13.5,14.7,.120,-1.3,0.0,-1.3,2.0,15.4,12.1,22.7,17.4,4.9,1.3,3.7,11.8,16.0,C,DENMEMMINSACUTA,koufoko01
265,Luke Kennard,28.1,DET,1,12,2017,Duke,2017-18,2025-26,21-29,538,127,0,28.1,120,115,17.9,10.2,.108,0.3,-0.3,0.0,6.3,13.0,1.5,11.6,6.5,14.0,1.2,0.5,10.8,16.3,G,ATLDETLACLALMEM,kennalu01
266,Kendrick Perkins,27.9,MEM,1,27,2003,,2003-04,2017-18,19-33,782,565,0,27.9,99,102,0.8,27.1,.078,-3.1,1.2,-1.9,0.6,10.7,9.3,21.4,15.6,7.1,0.8,4.1,24.4,13.5,C,BOSCLENOPOKC,perkike01
267,Immanuel Quickley,27.9,OKC,1,25,2020,Kentucky,2020-21,2025-26,21-26,394,168,0,27.9,119,115,17.9,10.0,.127,1.6,-0.1,1.5,9.2,16.2,1.9,12.6,7.2,23.0,1.5,0.4,9.4,22.6,G,NYKTOR,quickim01
268,Nate Robinson,27.8,PHO,1,21,2005,Washington,2005-06,2015-16,21-31,618,107,0,27.8,108,110,18.5,9.4,.096,0.9,-0.4,0.5,8.6,15.6,3.1,8.9,6.0,22.6,2.0,0.2,12.0,23.6,G,BOSCHIDENGSWLACNOPNYKOKC,robinna01
269,Miles Bridges,27.8,LAC,1,12,2018,Michigan State,2018-19,2025-26,20-27,501,396,0,27.8,112,115,15.1,12.7,.086,0.6,-0.5,0.1,8.2,15.5,3.8,18.2,10.9,14.1,1.2,2.0,10.0,21.8,G-F,CHO,bridgmi02
270,Jamaal Magloire,27.7,CHA,1,19,2000,Kentucky,2000-01,2011-12,22-33,680,314,1,27.7,101,102,8.1,19.7,.091,-2.5,-0.4,-2.9,-3.1,13.5,11.2,24.3,17.7,4.4,0.8,3.1,17.7,17.7,C,CHHDALMIAMILNJNNOHPORTOR,magloja01
271,Josh Richardson,27.7,MIA,2,40,2015,Tennessee,2015-16,2024-25,22-31,554,322,0,27.7,109,111,10.8,16.8,.084,-1.0,0.4,-0.6,5.5,12.4,2.6,9.1,5.9,13.6,1.8,1.6,11.1,18.3,G,BOSDALMIANOPPHISAS,richajo01
272,Al-Farouq Aminu,27.6,LAC,1,8,2010,Wake Forest,2010-11,2020-21,20-30,711,445,0,27.6,103,106,6.8,20.7,.075,-1.2,0.7,-0.6,6.5,12.2,6.2,20.9,13.6,7.3,2.0,1.8,14.3,15.2,F,CHIDALLACNOHNOPORLPOR,aminual01
273,Kelly Oubre Jr.,27.6,ATL,1,15,2015,Kansas,2015-16,2025-26,20-30,705,352,0,27.6,107,113,9.1,18.5,.068,-1.2,-0.6,-1.8,0.8,13.3,4.2,14.6,9.4,6.4,1.9,1.6,8.5,21.0,F,CHOGSWPHIPHOWAS,oubreke01
274,Gary Harris,27.5,CHI,1,19,2014,Michigan State,2014-15,2025-26,20-31,666,448,0,27.5,111,113,15.2,12.3,.076,-1.4,-0.1,-1.4,2.6,11.7,2.3,7.2,4.7,10.0,2.0,0.8,10.0,16.3,G,DENMILORL,harriga01
275,James Johnson,27.4,CHI,1,16,2009,Wake Forest,2009-10,2024-25,22-37,786,243,0,27.4,104,106,7.3,20.1,.084,-1.1,1.4,0.4,9.3,13.9,4.4,15.3,9.8,15.9,1.9,3.5,16.2,18.5,F,BRKCHIDALINDMEMMIAMINNOPSACTOR,johnsja01
276,Markieff Morris,27.3,PHO,1,13,2011,Kansas,2011-12,2024-25,22-35,791,381,0,27.3,103,108,7.7,19.6,.071,-1.5,0.0,-1.5,2.3,13.4,5.4,18.0,11.6,10.3,1.6,1.6,12.7,20.9,F,BRKDALDETLALMIAOKCPHOWAS,morrima02
277,Scottie Barnes,27.2,TOR,1,4,2021,Florida State,2021-22,2025-26,20-24,356,355,2,27.2,113,113,12.2,15.0,.107,1.4,0.9,2.3,13.1,17.6,6.7,17.7,12.1,22.7,1.8,3.0,13.1,22.7,G-F,TOR,barnesc01
278,Darius Garland,27.1,CLE,1,5,2019,Vanderbilt,2019-20,2025-26,20-26,427,421,2,27.1,112,115,15.5,11.6,.093,1.7,-1.4,0.2,7.9,16.3,1.7,7.2,4.5,31.8,1.7,0.3,15.1,25.9,G,CLELAC,garlada01
279,Chris Wilcox,26.9,LAC,1,8,2002,Maryland,2002-03,2012-13,20-30,628,261,0,26.9,109,108,16.0,10.8,.103,-1.0,-0.7,-1.6,1.2,15.5,9.0,19.8,14.4,6.2,1.3,1.5,13.5,19.0,F,BOSDETLACNYKOKCSEA,wilcoch01
280,Dejounte Murray,26.8,SAS,1,29,2016,Washington,2016-17,2025-26,20-29,517,446,1,26.8,108,112,9.8,17.0,.085,0.7,0.7,1.4,12.9,17.3,3.2,18.4,10.7,28.0,2.4,0.8,12.7,24.5,G,ATLNOPSAS,murrade01
281,Jeremy Lamb,26.8,HOU,1,12,2012,Connecticut,2012-13,2021-22,20-29,573,136,0,26.8,110,109,13.9,12.9,.108,0.4,0.2,0.6,7.9,15.6,2.8,16.3,9.5,11.9,1.7,1.5,8.0,21.3,G-F,CHOINDOKCSAC,lambje01
282,Cameron Johnson,26.6,MIN,1,11,2019,North Carolina,2019-20,2025-26,23-29,394,235,0,26.6,120,115,16.8,9.9,.120,1.4,-0.2,1.2,8.8,14.7,3.2,12.9,8.1,11.0,1.5,1.1,7.9,18.4,F,BRKDENPHO,johnsca02
283,Vladimir Radmanović,26.5,OKC,1,12,2001,,2001-02,2012-13,21-32,737,213,0,26.5,104,107,12.5,13.9,.079,0.1,-0.2,-0.1,7.6,12.7,4.7,15.4,10.1,9.7,1.7,1.2,13.1,18.0,F,ATLCHACHIGSWLACLALSEA,radmavl01
284,D'Angelo Russell,26.5,LAL,1,2,2015,Ohio State,2015-16,2025-26,19-29,655,539,1,26.5,107,115,13.1,13.3,.066,1.7,-1.2,0.6,12.4,16.1,1.7,10.6,6.1,30.9,1.7,0.9,14.2,26.4,G,BRKDALGSWLALMIN,russeda01
285,Will Barton,26.5,POR,2,40,2012,Memphis,2012-13,2022-23,22-32,679,286,0,26.5,107,111,12.7,13.8,.074,0.1,-0.5,-0.4,6.9,13.9,3.1,15.1,9.1,15.7,1.5,1.4,11.7,20.6,G,DENPORTORWAS,bartowi01
286,Grayson Allen,26.4,UTA,1,21,2018,Duke,2018-19,2025-26,23-30,454,279,0,26.4,120,115,16.5,9.9,.109,0.4,-0.1,0.3,6.6,13.2,2.3,10.3,6.4,11.9,1.5,1.0,10.4,17.0,G,MEMMILPHOUTA,allengr01
287,Brandan Wright,26.2,CHA,1,8,2007,North Carolina,2007-08,2017-18,20-30,428,62,0,26.2,125,106,18.4,7.8,.181,1.7,0.6,2.3,7.5,20.3,9.4,15.8,12.6,4.7,1.4,4.9,7.8,16.6,F-C,BOSDALGSWHOUMEMNJNPHO,wrighbr03
288,Trevor Booker,26.2,MIN,1,23,2010,Clemson,2010-11,2017-18,23-30,532,162,0,26.2,110,105,12.6,13.6,.116,-0.7,0.3,-0.5,4.2,15.0,10.6,19.6,15.1,8.4,1.7,2.0,13.9,16.0,F,BRKINDPHIUTAWAS,booketr01
289,Ian Mahinmi,26.1,SAS,1,28,2005,,2007-08,2019-20,21-33,618,133,0,26.1,108,102,9.0,17.1,.121,-3.2,1.2,-2.0,0.1,13.0,10.2,18.9,14.6,5.1,1.7,3.4,17.5,14.8,C,DALINDSASWAS,mahinia01
290,Luc Mbah a Moute,26.0,MIL,2,37,2008,UCLA,2008-09,2019-20,22-33,689,453,0,26.0,103,106,6.5,19.5,.078,-2.2,0.7,-1.5,2.0,10.7,6.6,13.3,9.8,5.7,1.9,1.3,13.2,13.6,F,HOULACMILMINPHISAC,mbahalu01
291,Jordan Clarkson,25.9,WAS,2,46,2014,Missouri,2014-15,2025-26,22-33,825,232,0,25.9,107,116,15.7,10.2,.056,0.6,-1.7,-1.1,5.1,15.1,3.5,9.6,6.5,17.0,1.4,0.5,11.2,25.7,G,CLELALNYKUTA,clarkjo01
292,Dorell Wright,25.9,MIA,1,19,2004,,2004-05,2014-15,19-29,549,222,0,25.9,109,107,13.7,12.1,.101,0.6,0.3,0.9,9.1,14.4,3.5,16.0,9.7,10.8,1.8,1.7,10.0,17.6,F-G,GSWMIAPHIPOR,wrighdo01
293,Marreese Speights,25.8,PHI,1,16,2008,Florida,2008-09,2017-18,21-30,705,78,0,25.8,106,105,12.2,13.5,.116,-1.2,-1.1,-2.2,-0.6,16.7,10.2,20.5,15.3,7.2,0.9,2.6,10.4,24.8,C-F,CLEGSWLACMEMORLPHI,speigma01
294,Jonas Jerebko,25.8,DET,2,39,2009,,2009-10,2018-19,22-31,635,119,0,25.8,112,108,14.7,11.0,.109,-0.8,-0.2,-1.0,2.9,13.2,7.5,17.9,12.6,6.9,1.5,1.1,11.0,15.7,F,BOSDETGSWUTA,jerebjo01
295,Josh Childress,25.7,ATL,1,6,2004,Stanford,2004-05,2013-14,21-30,391,70,0,25.7,118,110,19.7,6.0,.118,1.1,-0.3,0.8,7.4,15.6,8.1,12.9,10.4,9.5,1.7,1.3,12.8,15.0,G-F,ATLBRKNOPPHO,childjo01
296,Victor Oladipo,25.6,ORL,1,2,2013,Indiana,2013-14,2022-23,21-30,504,397,2,25.6,103,107,6.8,18.8,.076,0.2,0.4,0.7,11.0,16.0,2.0,13.6,7.7,19.6,2.5,1.2,13.7,25.2,G,HOUINDMIAOKCORL,oladivi01
297,Caris LeVert,25.4,IND,1,20,2016,Michigan,2016-17,2025-26,22-31,584,223,0,25.4,108,112,8.8,16.6,.078,-0.4,0.1,-0.2,7.0,14.4,2.7,11.8,7.3,21.7,1.8,1.3,12.1,22.6,G-F,ATLBRKCLEDETIND,leverca01
298,Tiago Splitter,25.3,SAS,1,28,2007,,2010-11,2016-17,26-32,355,153,0,25.3,116,101,14.4,10.9,.178,0.1,1.0,1.1,5.4,17.9,10.0,19.5,14.9,9.5,1.5,2.2,14.0,18.3,F-C,ATLPHISAS,splitti01
299,Pat Connaughton,25.3,NJN,2,41,2015,Notre Dame,2015-16,2025-26,23-33,637,72,0,25.3,117,112,12.3,13.0,.103,-0.8,0.3,-0.5,4.5,11.2,3.9,14.4,9.3,9.4,1.2,1.2,9.5,13.0,G,CHOMILPOR,connapa01
300,James Jones,25.2,IND,2,49,2003,Miami (FL),2003-04,2016-17,23-36,709,93,0,25.2,115,108,15.2,10.0,.109,0.0,-0.1,-0.1,5.4,11.3,2.4,10.7,6.7,5.0,1.1,1.5,6.6,14.6,F-G,CLEINDMIAPHOPOR,jonesja02
301,Jaxson Hayes,25.1,ATL,1,8,2019,Texas,2019-20,2025-26,19-25,433,96,0,25.1,133,113,17.1,8.0,.167,-0.6,0.5,-0.1,3.5,17.1,9.2,17.1,13.2,6.2,1.3,3.8,12.0,14.5,F,LALNOP,hayesja02
302,Terrence Ross,25.0,TOR,1,8,2012,Washington,2012-13,2022-23,21-31,733,187,0,25.0,105,110,9.3,15.7,.067,-0.5,-0.5,-1.0,4.5,12.4,1.6,11.3,6.4,8.2,1.6,1.1,8.6,20.1,F-G,ORLPHOTOR,rosste01
303,Bogdan Bogdanović,25.0,PHO,1,27,2014,,2017-18,2025-26,25-33,526,200,0,25.0,112,116,15.3,9.7,.081,0.6,-0.5,0.1,7.7,14.3,1.8,11.2,6.5,16.6,1.7,0.8,10.3,21.1,G,ATLLACSAC,bogdabo01
304,Chris Duhon,25.0,CHI,2,38,2004,Duke,2004-05,2012-13,22-30,606,319,0,25.0,107,108,11.6,13.5,.077,-1.3,0.1,-1.2,3.2,10.8,1.4,8.5,5.0,25.7,1.6,0.2,19.7,13.5,G,CHILALNYKORL,duhonch01
305,Dante Cunningham,24.9,POR,2,33,2009,Villanova,2009-10,2018-19,22-31,715,195,0,24.9,107,108,10.5,14.5,.080,-2.0,0.3,-1.7,1.1,11.1,6.0,14.4,10.1,5.1,1.6,1.8,8.0,13.2,F,BRKCHAMEMMINNOPPORSAS,cunnida01
306,Martell Webster,24.7,POR,1,6,2005,,2005-06,2014-15,19-28,580,266,0,24.7,109,109,14.7,10.0,.085,-0.3,-0.5,-0.8,4.3,11.7,2.9,12.4,7.6,6.8,1.1,0.9,10.5,16.8,G-F,MINPORWAS,webstma02
307,Eduardo Nájera,24.7,HOU,2,38,2000,Oklahoma,2000-01,2011-12,24-35,619,85,0,24.7,111,106,12.7,11.9,.106,-1.5,0.6,-0.9,3.0,12.0,9.0,14.1,11.5,6.5,2.0,1.5,12.3,12.9,F,CHADALDENGSWNJN,najered01
308,Monte Morris,24.7,DEN,2,51,2017,Iowa State,2017-18,2025-26,22-30,426,166,0,24.7,121,115,17.3,7.3,.120,0.5,-0.3,0.2,5.6,14.8,1.6,9.4,5.6,21.7,1.5,0.7,8.0,16.9,G,DENDETINDMINPHOWAS,morrimo01
309,Brandon Clarke,24.6,OKC,1,21,2019,Gonzaga,2019-20,2025-26,23-29,309,50,0,24.6,128,110,15.6,9.1,.184,1.3,1.1,2.4,7.1,19.8,9.2,18.6,13.9,9.3,1.7,3.4,8.2,17.4,F,MEM,clarkbr01
310,Chris Kaman,24.6,LAC,1,6,2003,Central Michigan,2003-04,2015-16,21-33,735,538,1,24.6,98,105,0.4,24.2,.060,-1.9,-0.1,-1.9,0.4,14.9,8.8,23.8,16.4,8.3,0.9,3.6,16.5,21.7,C,DALLACLALNOHPOR,kamanch01
311,Delonte West,24.5,BOS,1,24,2004,Saint Joseph's,2004-05,2011-12,21-28,432,258,0,24.5,107,106,10.9,13.6,.099,0.0,0.9,0.9,8.7,13.9,2.2,10.3,6.3,21.1,2.1,1.2,15.2,17.9,G,BOSCLEDALSEA,westde01
312,Trey Murphy III,24.4,MEM,1,17,2021,Virginia,2021-22,2025-26,21-25,317,206,0,24.4,123,117,16.9,7.6,.128,2.0,-0.5,1.6,8.3,16.3,3.1,13.2,8.1,11.5,1.7,1.5,7.8,19.9,F,NOP,murphtr02
313,Ja Morant,24.3,MEM,1,2,2019,Murray State,2019-20,2025-26,20-26,327,325,2,24.3,112,114,14.4,9.9,.113,3.2,-0.7,2.5,11.8,20.0,3.0,12.5,7.7,36.7,1.5,0.8,14.4,30.7,G,MEM,moranja01
314,Jodie Meeks,24.3,MIL,2,41,2009,Kentucky,2009-10,2018-19,22-31,539,204,0,24.3,111,109,15.4,8.9,.096,-0.3,-0.3,-0.6,4.2,12.8,1.4,9.0,5.1,7.4,1.7,0.2,8.5,17.8,G,DETLALMILORLPHITORWAS,meeksjo01
315,Franz Wagner,24.2,ORL,1,8,2021,Michigan,2021-22,2025-26,20-24,325,323,0,24.2,114,114,12.7,11.6,.112,1.0,0.0,0.9,7.7,17.2,3.5,13.9,8.6,19.1,1.5,1.0,10.2,25.3,G-F,ORL,wagnefr01
316,Alex Len,23.9,PHO,1,5,2013,Maryland,2013-14,2024-25,20-31,690,244,0,23.9,110,109,11.4,12.4,.097,-1.9,0.0,-1.9,0.3,15.0,10.8,22.8,16.7,7.4,1.0,4.4,15.3,17.4,C,ATLLALPHOSACTORWAS,lenal01
317,Jason Thompson,23.8,SAC,1,12,2008,Rider,2008-09,2015-16,22-29,588,412,0,23.8,107,110,13.6,10.1,.077,-1.7,-0.9,-2.6,-2.4,13.5,9.6,20.3,14.9,6.8,1.0,2.1,13.2,16.9,F-C,GSWSACTOR,thompja02
318,Jalen Williams,23.8,OKC,1,12,2022,Santa Clara,2022-23,2025-26,21-24,248,235,1,23.8,118,111,12.6,11.2,.149,1.4,0.8,2.2,8.2,18.4,3.0,13.0,8.1,21.1,2.1,1.7,10.9,23.5,G,OKC,willija06
319,Randy Foye,23.5,BOS,1,7,2006,Villanova,2006-07,2016-17,23-33,752,433,0,23.5,105,111,14.2,9.2,.058,-0.4,-0.8,-1.2,3.8,12.0,1.5,8.6,5.0,17.5,1.4,0.9,13.0,19.7,G,BRKDENLACMINOKCUTAWAS,foyera01
320,Willie Cauley-Stein,23.3,SAC,1,6,2015,Kentucky,2015-16,2021-22,22-28,422,255,0,23.3,114,108,12.5,10.9,.121,-0.8,0.7,-0.1,4.4,16.6,8.0,21.3,14.5,9.8,1.8,3.2,10.5,17.1,F-C,DALGSWPHISAC,caulewi01
321,Terance Mann,23.3,LAC,2,48,2019,Florida State,2019-20,2025-26,23-29,475,220,0,23.3,121,116,14.5,8.8,.105,-1.1,-0.1,-1.2,2.2,12.5,5.0,12.1,8.6,13.1,1.2,0.9,10.8,14.7,G-F,ATLBRKLAC,mannte01
322,Keldon Johnson,23.2,SAS,1,29,2019,Kentucky,2019-20,2025-26,20-26,452,232,0,23.2,114,116,13.7,9.5,.089,0.3,-1.3,-1.0,3.2,15.3,5.0,15.9,10.4,10.7,1.2,0.7,8.6,22.1,G,SAS,johnske04
323,Jaden McDaniels,23.1,LAL,1,28,2020,Washington,2020-21,2025-26,20-25,439,363,0,23.1,113,113,8.3,14.8,.087,-2.1,0.6,-1.5,1.5,11.6,4.2,11.6,7.9,8.4,1.6,2.7,11.5,15.9,F,MIN,mcdanja02
324,Joe Harris,23.1,CLE,2,33,2014,Virginia,2014-15,2023-24,23-32,504,283,0,23.1,116,114,15.4,7.7,.090,0.0,-0.7,-0.7,4.1,12.2,2.3,10.8,6.6,9.5,0.9,0.6,11.1,16.4,G,BRKCLEDET,harrijo01
325,Desmond Mason,23.1,OKC,1,17,2000,Oklahoma State,2000-01,2009-10,23-32,643,385,0,23.1,102,109,12.4,10.6,.056,-1.3,-1.1,-2.4,-2.1,12.7,4.7,12.4,8.5,8.9,1.2,0.9,11.9,20.2,F,MILNOKOKCSACSEA,masonde01
326,Joel Przybilla,23.0,HOU,1,9,2000,Minnesota,2000-01,2012-13,21-33,592,397,0,23.0,106,104,7.0,16.0,.094,-2.8,1.1,-1.7,0.8,12.0,11.3,25.9,18.6,3.3,0.7,5.4,22.1,10.3,C,ATLCHAMILPOR,przybjo01
327,Maurice Harkless,23.0,PHI,1,15,2012,St. John's (NY),2012-13,2021-22,19-28,621,372,0,23.0,107,109,8.9,14.0,.079,-1.6,0.8,-0.8,4.1,11.7,5.2,12.0,8.6,5.9,2.1,2.3,11.8,13.9,F-G,LACMIANYKORLPORSAC,harklma01
328,Bruce Brown,22.9,DET,2,42,2018,Miami (FL),2018-19,2025-26,22-29,539,272,0,22.9,113,114,10.5,12.4,.082,-1.9,0.3,-1.6,1.3,12.2,4.7,13.9,9.4,13.1,1.8,1.6,12.3,15.6,G-F,BRKDENDETINDNOPTOR,brownbr01
329,Thomas Bryant,22.7,UTA,2,42,2017,Indiana,2017-18,2025-26,20-28,393,147,0,22.7,127,112,15.6,7.1,.164,1.3,-0.4,0.9,4.9,19.2,8.7,22.8,15.7,8.1,1.0,3.4,9.3,18.1,C,CLEDENINDLALMIAWAS,bryanth01
