--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
22,Carmelo Anthony,108.5,DEN,1,3,2003,Syracuse,2003-04,2021-22,19-37,1260,1120,10,108.5,108,109,70.8,37.8,.120,2.5,-1.2,1.3,36.7,19.5,5.2,15.1,10.1,14.4,1.4,1.2,10.5,29.7,F,DENHOULALNYKOKCPOR,anthoca01
23,Mike Conley,107.6,MEM,1,4,2007,Ohio State,2007-08,2025-26,20-38,1226,1143,1,107.6,115,109,68.4,39.2,.137,1.8,0.5,2.3,40.9,16.9,1.8,9.1,5.4,28.3,2.2,0.6,12.8,20.5,G,MEMMINUTA,conlemi01
24,Chris Bosh,106.0,TOR,1,4,2003,Georgia Tech,2003-04,2015-16,19-31,893,881,11,106.0,113,105,68.8,37.2,.159,2.2,-0.3,1.9,31.1,20.6,7.2,20.7,14.1,9.9,1.2,2.3,10.7,24.6,F-C,MIATOR,boshch01
25,Tyson Chandler,102.1,LAC,1,2,2001,,2001-02,2019-20,19-37,1160,886,1,102.1,118,103,56.3,45.8,.155,-0.3,0.5,0.1,16.9,16.1,12.6,25.1,18.8,4.7,1.0,3.3,17.9,13.2,C,CHACHIDALHOULALNOHNOKNYKPHO,chandty01
26,Andre Iguodala,100.4,PHI,1,9,2004,Arizona,2004-05,2022-23,21-39,1231,784,1,100.4,111,106,50.8,49.5,.122,0.8,1.4,2.1,41.3,15.4,3.3,14.1,8.7,19.5,2.3,1.3,15.1,16.9,F-G,DENGSWMIAPHI,iguodan01
27,DeAndre Jordan,99.4,LAC,2,35,2008,Texas A&M,2008-09,2025-26,20-37,1123,798,1,99.4,121,103,53.9,45.4,.170,0.4,0.7,1.1,22.2,18.3,13.1,29.8,21.6,5.5,1.0,4.6,16.4,14.0,C,BRKDALDENLACLALNOPNYKPHI,jordade01
28,Kevin Love,96.0,MEM,1,5,2008,UCLA,2008-09,2025-26,20-37,989,698,5,96.0,115,107,63.2,32.8,.164,3.7,-0.5,3.2,36.7,20.6,9.0,29.9,19.4,12.9,1.1,1.1,11.1,24.1,F-C,CLEMIAMINUTA,loveke01
29,Paul Millsap,95.4,UTA,2,47,2006,Louisiana Tech,2006-07,2021-22,21-36,1085,746,4,95.4,111,104,49.7,45.7,.150,0.9,1.0,1.9,29.9,18.7,8.9,20.0,14.5,12.6,2.2,2.8,12.3,21.7,F,ATLBRKDENPHIUTA,millspa01
30,Karl-Anthony Towns,94.6,MIN,1,1,2015,Kentucky,2015-16,2025-26,20-30,720,720,6,94.6,120,109,63.7,30.9,.187,4.0,0.2,4.3,38.5,23.6,9.3,27.8,18.5,15.4,1.2,2.9,12.8,26.8,C-F,MINNYK,townska01
31,Brook Lopez,94.2,NJN,1,10,2008,Stanford,2008-09,2025-26,20-37,1180,1105,1,94.2,113,109,54.2,40.0,.129,1.0,0.2,1.2,28.3,18.2,7.1,15.0,11.1,8.1,1.0,5.1,10.3,22.1,C,BRKLACLALMILNJN,lopezbr01
32,Amar'e Stoudemire,92.5,PHO,1,9,2002,,2002-03,2015-16,20-33,846,696,6,92.5,113,105,63.1,29.4,.169,1.7,-0.4,1.3,21.9,21.8,9.0,19.5,14.4,6.9,1.2,2.9,12.7,26.2,F-C,DALMIANYKPHO,stoudam01
33,Paul George,92.0,IND,1,10,2010,Fresno State,2010-11,2025-26,20-35,945,897,9,92.0,110,106,43.0,49.0,.140,2.5,1.1,3.7,45.2,19.1,2.7,17.7,10.2,18.4,2.5,1.1,12.8,26.9,F-G,INDLACOKCPHI,georgpa01
34,Kyrie Irving,91.0,CLE,1,1,2011,Duke,2011-12,2024-25,19-32,779,779,9,91.0,116,111,67.7,23.3,.163,4.7,-0.3,4.5,43.7,22.2,2.7,10.4,6.5,28.8,1.9,1.1,11.0,29.1,G,BOSBRKCLEDAL,irvinky01
