--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,,,,,,,Per 36 MP,,,,,,,,,,,,,,,,,,,,,,,,,-additional
Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
235,Richaun Holmes,30.7,PHI,2,37,2015,Bowling Green,2015-16,2024-25,22-31,489,178,0,6.6,10.9,6.4,10.2,0.2,0.7,2.6,3.5,3.3,6.7,10.0,1.8,0.9,1.7,1.6,4.6,16.0,.605,.628,.269,.751,.644,.614,C-F,DALPHIPHOSACWAS,holmeri01
236,Andris Biedriņš,30.7,GSW,1,11,2004,,2004-05,2013-14,18-27,516,311,0,4.6,7.8,4.6,7.8,0.0,0.0,1.2,2.5,3.8,7.9,11.7,1.5,1.1,1.9,1.5,5.3,10.5,.594,.595,.000,.500,.591,.594,C,GSWUTA,biedran01
237,Gorgui Dieng,30.7,UTA,1,21,2013,Louisville,2013-14,2022-23,24-33,628,209,0,5.0,10.0,4.4,8.4,0.6,1.6,2.6,3.3,3.0,7.1,10.1,2.4,1.3,1.6,2.0,3.8,13.1,.496,.522,.355,.791,.572,.524,C,ATLMEMMINSAS,dienggo01
238,Terry Rozier,30.6,BOS,1,16,2015,Louisville,2015-16,2024-25,21-30,665,381,0,6.6,15.8,3.9,8.4,2.7,7.4,2.3,2.8,0.9,4.3,5.1,4.6,1.2,0.3,1.8,1.9,18.1,.418,.468,.361,.829,.534,.502,G,BOSCHOMIA,roziete01
239,Alperen Şengün,30.5,OKC,1,16,2021,,2021-22,2025-26,19-23,358,296,2,8.1,15.7,7.6,13.9,0.5,1.7,4.0,5.7,3.6,7.0,10.6,5.5,1.3,1.1,3.2,3.9,20.7,.518,.547,.281,.699,.570,.533,C-F,HOU,sengual01
240,Evan Fournier,30.5,DEN,1,20,2012,,2012-13,2023-24,20-31,704,504,0,6.4,14.4,3.9,7.7,2.5,6.7,2.5,3.1,0.5,3.0,3.5,3.2,1.1,0.2,2.0,3.0,17.7,.441,.498,.374,.799,.561,.527,G-F,BOSDENDETNYKORL,fournev01
241,Marco Belinelli,30.5,GSW,1,18,2007,,2007-08,2019-20,21-33,860,219,0,5.4,12.8,3.2,6.9,2.2,5.9,2.3,2.7,0.3,2.9,3.3,2.6,0.9,0.1,1.6,2.3,15.4,.424,.465,.376,.846,.550,.511,G-F,ATLCHICHOGSWNOHPHISACSASTOR,belinma01
242,Ronnie Brewer,30.4,UTA,1,14,2006,Arkansas,2006-07,2013-14,21-28,502,304,0,4.8,9.9,4.6,8.8,0.3,1.1,2.3,3.4,1.4,3.0,4.5,2.6,1.9,0.4,1.2,1.7,12.3,.490,.520,.254,.675,.539,.505,G-F,CHIHOUMEMNYKOKCUTA,brewero02
243,Zion Williamson,30.3,NOH,1,1,2019,Duke,2019-20,2025-26,19-25,276,269,2,10.6,18.0,10.5,17.6,0.1,0.4,6.3,9.1,2.6,4.9,7.4,4.7,1.2,0.7,3.1,2.6,27.7,.591,.597,.324,.695,.630,.595,F-C,NOP,willizi01
244,Kris Humphries,30.3,UTA,1,14,2004,Minnesota,2004-05,2016-17,19-31,800,203,0,5.3,11.3,5.1,10.9,0.1,0.5,2.9,4.1,3.5,7.4,10.9,1.4,0.8,1.1,1.7,3.7,13.5,.463,.471,.293,.700,.514,.469,F-C,ATLBOSBRKDALNJNPHOTORUTAWAS,humphkr01
245,Jaren Jackson Jr.,30.2,MEM,1,4,2018,Michigan State,2018-19,2025-26,19-26,455,446,2,8.2,17.6,6.1,11.5,2.2,6.2,4.6,5.8,1.6,5.3,7.0,1.9,1.3,2.3,2.4,4.6,23.2,.467,.530,.351,.793,.576,.529,F,MEMUTA,jacksja02
246,C.J. Miles,30.1,UTA,2,34,2005,,2005-06,2021-22,18-34,849,303,0,6.0,14.6,3.4,7.4,2.6,7.3,2.3,2.8,0.8,3.4,4.2,1.9,1.3,0.5,1.5,3.7,16.9,.411,.463,.358,.809,.533,.500,G-F,BOSCLEINDMEMTORUTAWAS,milescj01
247,Shaun Livingston,29.9,LAC,1,4,2004,,2004-05,2018-19,19-33,833,191,0,4.5,9.3,4.5,9.1,0.0,0.2,1.9,2.4,1.0,3.1,4.2,5.2,1.2,0.7,2.2,3.1,11.0,.486,.491,.178,.794,.531,.488,G,BRKCHACLEGSWLACMIAMILOKCWAS,livinsh01
248,Brandon Jennings,29.9,MIL,1,10,2009,,2009-10,2017-18,20-28,555,429,0,5.9,15.2,3.9,9.5,2.0,5.7,3.0,3.7,0.7,2.8,3.5,6.7,1.5,0.2,2.6,2.1,16.7,.387,.412,.345,.796,.496,.452,G,DETMILNYKORLWAS,jennibr01
249,DeMarre Carroll,29.5,MEM,1,27,2009,Missouri,2009-10,2019-20,23-33,578,339,0,4.8,11.1,3.0,6.2,1.7,4.8,2.3,3.1,1.7,4.7,6.5,1.9,1.4,0.4,1.3,3.0,13.6,.430,.485,.358,.741,.545,.508,F,ATLBRKDENHOUMEMSASTORUTA,carrode01
250,Jalen Duren,29.5,CHA,1,13,2022,Memphis,2022-23,2025-26,19-22,276,239,1,7.3,11.2,7.3,11.1,0.0,0.0,3.5,4.9,4.6,9.1,13.7,2.7,0.9,1.2,2.4,4.0,18.0,.652,.654,.000,.715,.678,.652,C,DET,durenja01
251,Payton Pritchard,29.4,BOS,1,26,2020,Oregon,2020-21,2025-26,23-28,426,67,0,6.2,13.7,3.0,5.3,3.3,8.3,1.2,1.3,1.2,3.5,4.8,4.9,0.9,0.2,1.5,2.0,16.9,.457,.556,.394,.869,.594,.577,G,BOS,pritcpa01
252,Michael Porter Jr.,29.4,DEN,1,14,2018,Missouri,2019-20,2025-26,21-27,397,343,0,7.9,16.0,4.8,8.1,3.1,7.9,2.2,2.7,1.7,6.2,7.9,2.0,0.8,0.7,1.6,2.4,21.1,.493,.585,.398,.812,.614,.591,F,BRKDEN,portemi01
253,Steve Blake,29.1,WAS,2,38,2003,Maryland,2003-04,2015-16,23-35,870,347,0,3.6,8.9,1.8,4.2,1.8,4.7,0.9,1.1,0.4,2.7,3.1,6.0,1.0,0.1,2.1,2.2,9.8,.401,.420,.383,.779,.521,.501,G,DENDETGSWLACLALMILPORWAS,blakest01
254,Donte DiVincenzo,29.1,MIL,1,17,2018,Villanova,2018-19,2025-26,22-29,498,282,0,5.3,12.5,2.1,4.1,3.2,8.4,1.3,1.7,1.2,4.6,5.8,4.2,1.6,0.4,2.0,2.6,15.0,.423,.512,.380,.767,.568,.551,G,GSWMILMINNYKSAC,divindo01
255,Wilson Chandler,29.0,NYK,1,23,2007,DePaul,2007-08,2019-20,20-32,676,483,0,5.8,13.1,4.3,8.6,1.6,4.5,1.9,2.4,1.4,5.0,6.3,2.1,0.8,0.7,1.7,3.2,15.0,.443,.497,.341,.770,.530,.502,F,BRKDENLACNYKPHI,chandwi01
256,Chandler Parsons,28.9,HOU,2,38,2011,Florida,2011-12,2019-20,23-31,440,369,0,5.8,12.5,3.9,7.5,1.9,5.0,1.7,2.4,1.0,4.4,5.4,3.3,1.1,0.4,1.8,2.4,15.1,.462,.521,.373,.713,.557,.536,F,ATLDALHOUMEM,parsoch01
257,Delon Wright,28.9,TOR,1,20,2015,Utah,2015-16,2024-25,23-32,548,92,0,4.3,9.6,3.1,6.3,1.2,3.3,2.0,2.5,1.4,3.9,5.3,5.3,2.1,0.6,1.5,1.8,11.8,.447,.499,.348,.799,.548,.507,G,ATLDALDETMEMMIAMILNYKSACTORWAS,wrighde01
258,Ramon Sessions,28.8,MIL,2,56,2007,Nevada,2007-08,2017-18,21-31,691,146,0,5.4,12.4,4.9,10.9,0.5,1.5,4.7,6.0,0.8,3.4,4.1,6.3,1.1,0.1,2.6,2.1,15.9,.434,.450,.316,.791,.531,.453,G,CHACHOCLELALMILMINNYKSACWAS,sessira01
259,Buddy Hield,28.7,NOH,1,6,2016,Oklahoma,2016-17,2025-26,24-33,765,437,0,6.9,16.0,3.1,6.4,3.8,9.5,1.5,1.7,0.9,4.3,5.2,3.2,1.1,0.4,2.1,2.6,19.1,.433,.489,.395,.856,.570,.551,G-F,ATLGSWINDNOPPHISAC,hieldbu01
260,Rodney Stuckey,28.7,DET,1,15,2007,Eastern Washington,2007-08,2016-17,21-30,651,302,0,5.8,13.8,5.3,12.0,0.6,1.9,4.2,5.1,0.8,3.0,3.8,4.7,1.1,0.2,2.4,2.7,16.5,.423,.442,.300,.824,.512,.443,G,DETIND,stuckro01
261,Tyreke Evans,28.4,SAC,1,4,2009,Memphis,2009-10,2018-19,20-29,594,426,0,6.9,15.7,5.9,12.7,1.0,3.1,3.6,4.8,1.0,4.4,5.4,5.6,1.4,0.4,2.9,2.6,18.4,.440,.468,.323,.757,.517,.471,G-F,INDMEMNOPSAC,evansty01
262,Robert Williams,28.3,BOS,1,27,2018,Texas A&M,2018-19,2025-26,21-28,294,101,0,5.8,8.1,5.7,7.9,0.1,0.2,1.4,2.1,4.6,8.1,12.6,2.4,1.3,3.0,1.6,3.2,13.0,.720,.729,.333,.661,.727,.724,C-F,BOSPOR,williro04
263,Nerlens Noel,28.3,NOH,1,6,2013,Kentucky,2014-15,2022-23,20-28,467,223,0,4.8,8.8,4.8,8.8,0.0,0.1,2.0,3.1,3.1,6.8,9.9,1.8,2.1,2.4,2.1,4.2,11.7,.546,.548,.200,.655,.573,.547,C-F,BRKDALDETNYKOKCPHI,noelne01
264,Kosta Koufos,28.3,UTA,1,23,2008,Ohio State,2008-09,2018-19,19-29,686,228,0,5.6,10.5,5.6,10.5,0.0,0.0,1.3,2.3,3.8,7.2,11.0,1.1,0.9,1.6,1.5,4.5,12.5,.534,.535,.000,.582,.545,.534,C,DENMEMMINSACUTA,koufoko01
265,Luke Kennard,28.1,DET,1,12,2017,Duke,2017-18,2025-26,21-29,538,127,0,5.3,11.4,2.4,4.8,3.0,6.7,1.4,1.5,0.5,3.8,4.3,3.5,0.9,0.2,1.5,2.1,15.0,.466,.499,.442,.885,.618,.595,G,ATLDETLACLALMEM,kennalu01
266,Kendrick Perkins,27.9,MEM,1,27,2003,,2003-04,2017-18,19-33,782,565,0,3.6,6.8,3.6,6.7,0.0,0.0,1.7,2.8,2.7,6.8,9.5,1.7,0.6,1.9,2.6,4.5,8.8,.530,.532,.000,.594,.552,.530,C,BOSCLENOPOKC,perkike01
267,Immanuel Quickley,27.9,OKC,1,25,2020,Kentucky,2020-21,2025-26,21-26,394,168,0,6.5,15.3,3.6,7.5,2.9,7.8,3.5,4.1,0.6,4.1,4.7,5.5,1.1,0.2,1.8,2.6,19.5,.426,.479,.375,.852,.568,.521,G,NYKTOR,quickim01
268,Nate Robinson,27.8,PHO,1,21,2005,Washington,2005-06,2015-16,21-31,618,107,0,6.4,15.1,4.3,9.2,2.1,5.8,2.8,3.5,1.0,2.8,3.8,4.7,1.4,0.1,2.3,3.8,17.7,.423,.463,.360,.796,.531,.493,G,BOSCHIDENGSWLACNOPNYKOKC,robinna01
269,Miles Bridges,27.8,LAC,1,12,2018,Michigan State,2018-19,2025-26,20-27,501,396,0,6.9,15.0,4.9,8.9,2.0,6.1,2.6,3.2,1.3,5.9,7.2,3.2,0.9,0.8,1.8,2.1,18.5,.461,.545,.338,.825,.565,.530,G-F,CHO,bridgmi02
270,Jamaal Magloire,27.7,CHA,1,19,2000,Kentucky,2000-01,2011-12,22-33,680,314,1,4.3,9.0,4.3,9.0,0.0,0.0,3.4,5.4,3.5,7.4,10.9,1.0,0.6,1.5,2.5,4.4,12.1,.480,.481,.000,.639,.531,.480,C,CHHDALMIAMILNJNNOHPORTOR,magloja01
271,Josh Richardson,27.7,MIA,2,40,2015,Tennessee,2015-16,2024-25,22-31,554,322,0,5.3,12.4,3.3,6.9,2.0,5.5,1.9,2.3,0.9,3.0,3.8,3.3,1.3,0.7,1.7,2.8,14.5,.428,.480,.363,.846,.543,.509,G,BOSDALMIANOPPHISAS,richajo01
272,Al-Farouq Aminu,27.6,LAC,1,8,2010,Wake Forest,2010-11,2020-21,20-30,711,445,0,4.0,9.4,2.9,6.1,1.1,3.3,1.9,2.5,2.0,6.7,8.7,1.8,1.4,0.8,1.8,2.6,10.9,.420,.467,.332,.746,.517,.478,F,CHIDALLACNOHNOPORLPOR,aminual01
273,Kelly Oubre Jr.,27.6,ATL,1,15,2015,Kansas,2015-16,2025-26,20-30,705,352,0,6.4,14.4,4.4,8.4,2.0,6.1,2.8,3.7,1.4,4.7,6.1,1.5,1.4,0.7,1.5,3.5,17.5,.440,.523,.327,.752,.545,.509,F,CHOGSWPHIPHOWAS,oubreke01
274,Gary Harris,27.5,CHI,1,19,2014,Michigan State,2014-15,2025-26,20-31,666,448,0,5.0,11.3,3.1,6.0,2.0,5.3,1.7,2.0,0.8,2.3,3.1,2.5,1.4,0.3,1.4,2.3,13.6,.446,.512,.370,.810,.561,.532,G,DENMILORL,harriga01
275,James Johnson,27.4,CHI,1,16,2009,Wake Forest,2009-10,2024-25,22-37,786,243,0,5.3,11.3,4.5,8.4,0.9,2.9,1.9,2.8,1.4,4.9,6.3,3.7,1.3,1.5,2.4,4.0,13.5,.473,.535,.300,.678,.538,.512,F,BRKCHIDALINDMEMMIAMINNOPSACTOR,johnsja01
276,Markieff Morris,27.3,PHO,1,13,2011,Kansas,2011-12,2024-25,22-35,791,381,0,6.1,13.7,4.8,9.9,1.3,3.8,2.3,3.0,1.7,5.8,7.5,2.4,1.2,0.7,2.2,4.0,15.7,.443,.482,.341,.779,.525,.490,F,BRKDALDETLALMIAOKCPHOWAS,morrima02
277,Scottie Barnes,27.2,TOR,1,4,2021,Florida State,2021-22,2025-26,20-24,356,355,2,7.1,15.0,6.0,11.4,1.1,3.6,3.0,3.9,2.3,5.6,7.9,5.4,1.3,1.1,2.5,2.4,18.3,.475,.530,.301,.773,.549,.511,G-F,TOR,barnesc01
278,Darius Garland,27.1,CLE,1,5,2019,Vanderbilt,2019-20,2025-26,20-26,427,421,2,7.6,16.6,4.9,9.9,2.6,6.7,2.9,3.4,0.5,2.3,2.9,7.3,1.3,0.1,3.2,2.0,20.6,.454,.498,.389,.866,.569,.532,G,CLELAC,garlada01
279,Chris Wilcox,26.9,LAC,1,8,2002,Maryland,2002-03,2012-13,20-30,628,261,0,6.1,11.2,6.1,11.2,0.0,0.1,2.7,4.3,2.8,6.1,8.9,1.3,0.9,0.7,2.0,4.4,14.9,.541,.543,.000,.643,.568,.541,F,BOSDETLACNYKOKCSEA,wilcoch01
280,Dejounte Murray,26.8,SAS,1,29,2016,Washington,2016-17,2025-26,20-29,517,446,1,7.6,16.7,6.1,12.4,1.5,4.4,2.4,3.1,1.1,6.0,7.1,6.7,1.8,0.3,2.6,2.2,19.1,.454,.495,.339,.793,.528,.498,G,ATLNOPSAS,murrade01
281,Jeremy Lamb,26.8,HOU,1,12,2012,Connecticut,2012-13,2021-22,20-29,573,136,0,6.4,14.6,4.6,9.3,1.8,5.3,2.9,3.4,0.9,5.4,6.3,2.7,1.3,0.7,1.4,2.8,17.6,.439,.494,.342,.857,.545,.501,G-F,CHOINDOKCSAC,lambje01
282,Cameron Johnson,26.6,MIN,1,11,2019,North Carolina,2019-20,2025-26,23-29,394,235,0,5.9,12.9,2.8,5.2,3.0,7.7,2.3,2.7,1.0,4.2,5.2,2.7,1.1,0.4,1.2,2.4,17.1,.457,.546,.396,.849,.608,.575,F,BRKDENPHO,johnsca02
283,Vladimir Radmanović,26.5,OKC,1,12,2001,,2001-02,2012-13,21-32,737,213,0,4.8,11.5,2.6,5.8,2.2,5.7,1.4,1.8,1.5,4.7,6.2,2.2,1.2,0.6,1.9,3.5,13.1,.415,.451,.378,.758,.531,.509,F,ATLCHACHIGSWLACLALSEA,radmavl01
284,D'Angelo Russell,26.5,LAL,1,2,2015,Ohio State,2015-16,2025-26,19-29,655,539,1,7.5,17.6,4.5,9.3,3.0,8.3,2.8,3.6,0.6,3.5,4.1,6.9,1.3,0.4,3.2,2.3,20.8,.427,.483,.363,.793,.544,.512,G,BRKDALGSWLALMIN,russeda01
285,Will Barton,26.5,POR,2,40,2012,Memphis,2012-13,2022-23,22-32,679,286,0,5.9,13.8,4.1,8.5,1.9,5.3,2.3,2.9,1.0,4.9,5.9,3.8,1.1,0.6,2.0,2.2,16.0,.430,.477,.355,.787,.532,.498,G,DENPORTORWAS,bartowi01
286,Grayson Allen,26.4,UTA,1,21,2018,Duke,2018-19,2025-26,23-30,454,279,0,5.2,11.7,2.1,4.0,3.1,7.8,2.2,2.5,0.7,3.5,4.2,3.1,1.1,0.4,1.5,2.3,15.7,.443,.521,.403,.857,.610,.576,G,MEMMILPHOUTA,allengr01
287,Brandan Wright,26.2,CHA,1,8,2007,North Carolina,2007-08,2017-18,20-30,428,62,0,6.6,10.9,6.6,10.8,0.0,0.1,2.2,3.3,3.0,5.0,8.1,1.0,1.0,2.2,1.0,3.0,15.4,.607,.610,.000,.674,.626,.607,F-C,BOSDALGSWHOUMEMNJNPHO,wrighbr03
288,Trevor Booker,26.2,MIN,1,23,2010,Clemson,2010-11,2017-18,23-30,532,162,0,5.1,9.9,4.9,9.1,0.2,0.8,1.7,2.6,3.4,6.3,9.7,1.9,1.2,0.9,1.8,3.5,12.2,.515,.534,.305,.636,.548,.528,F,BRKINDPHIUTAWAS,booketr01
289,Ian Mahinmi,26.1,SAS,1,28,2005,,2007-08,2019-20,21-33,618,133,0,4.2,7.8,4.1,7.7,0.0,0.2,2.8,4.5,3.3,6.1,9.4,1.2,1.2,1.5,2.1,5.7,11.2,.533,.541,.160,.612,.567,.535,C,DALINDSASWAS,mahinia01
290,Luc Mbah a Moute,26.0,MIL,2,37,2008,UCLA,2008-09,2019-20,22-33,689,453,0,3.8,8.3,3.3,6.9,0.5,1.4,1.8,2.7,2.2,4.1,6.3,1.3,1.4,0.6,1.5,2.8,9.8,.454,.478,.334,.659,.516,.482,F,HOULACMILMINPHISAC,mbahalu01
291,Jordan Clarkson,25.9,WAS,2,46,2014,Missouri,2014-15,2025-26,22-33,825,232,0,7.7,17.6,5.3,10.5,2.4,7.1,2.8,3.4,1.2,3.2,4.3,3.8,1.0,0.2,2.4,2.3,20.6,.437,.506,.336,.829,.539,.505,G,CLELALNYKUTA,clarkjo01
292,Dorell Wright,25.9,MIA,1,19,2004,,2004-05,2014-15,19-29,549,222,0,4.9,11.5,3.0,6.5,1.8,5.0,2.0,2.4,1.1,5.0,6.1,2.5,1.2,0.8,1.4,2.3,13.5,.424,.469,.365,.806,.538,.503,F-G,GSWMIAPHIPOR,wrighdo01
293,Marreese Speights,25.8,PHI,1,16,2008,Florida,2008-09,2017-18,21-30,705,78,0,7.4,16.1,6.6,13.9,0.8,2.2,3.4,4.2,3.2,6.5,9.7,1.6,0.6,1.2,2.1,5.3,18.9,.459,.475,.356,.797,.527,.484,C-F,CLEGSWLACMEMORLPHI,speigma01
294,Jonas Jerebko,25.8,DET,2,39,2009,,2009-10,2018-19,22-31,635,119,0,4.7,10.2,3.4,6.7,1.3,3.5,1.9,2.4,2.4,5.6,8.0,1.7,1.0,0.5,1.4,3.9,12.5,.457,.507,.363,.770,.554,.520,F,BOSDETGSWUTA,jerebjo01
295,Josh Childress,25.7,ATL,1,6,2004,Stanford,2004-05,2013-14,21-30,391,70,0,4.6,8.9,4.3,7.8,0.3,1.0,2.6,3.4,2.5,3.9,6.4,2.1,1.2,0.6,1.5,2.5,12.2,.522,.548,.329,.779,.591,.542,G-F,ATLBRKNOPPHO,childjo01
296,Victor Oladipo,25.6,ORL,1,2,2013,Indiana,2013-14,2022-23,21-30,504,397,2,6.9,15.8,5.1,10.6,1.8,5.2,3.2,4.1,0.6,4.3,5.0,4.4,1.8,0.5,2.8,2.7,18.8,.436,.480,.347,.788,.534,.493,G,HOUINDMIAOKCORL,oladivi01
297,Caris LeVert,25.4,IND,1,20,2016,Michigan,2016-17,2025-26,22-31,584,223,0,6.5,15.0,4.6,9.4,1.9,5.6,2.7,3.7,0.9,3.9,4.8,5.2,1.4,0.5,2.3,2.6,17.7,.436,.490,.344,.733,.532,.500,G-F,ATLBRKCLEDETIND,leverca01
298,Tiago Splitter,25.3,SAS,1,28,2007,,2010-11,2016-17,26-32,355,153,0,5.7,10.2,5.7,10.1,0.0,0.1,3.5,5.1,3.0,6.4,9.4,2.2,1.0,1.1,2.0,3.6,14.9,.555,.558,.143,.697,.598,.556,F-C,ATLPHISAS,splitti01
299,Pat Connaughton,25.3,NJN,2,41,2015,Notre Dame,2015-16,2025-26,23-33,637,72,0,4.1,9.4,2.0,3.4,2.2,6.0,0.9,1.2,1.3,5.1,6.4,2.6,0.9,0.5,1.0,2.2,11.3,.438,.581,.357,.767,.569,.552,G,CHOMILPOR,connapa01
300,James Jones,25.2,IND,2,49,2003,Miami (FL),2003-04,2016-17,23-36,709,93,0,3.9,9.7,1.4,3.5,2.5,6.3,1.7,2.1,0.7,3.4,4.1,1.2,0.7,0.7,0.7,3.0,12.1,.401,.402,.401,.840,.566,.530,F-G,CLEINDMIAPHOPOR,jonesja02
301,Jaxson Hayes,25.1,ATL,1,8,2019,Texas,2019-20,2025-26,19-25,433,96,0,5.8,8.7,5.6,8.1,0.2,0.6,3.1,4.5,2.9,5.6,8.5,1.6,1.0,1.5,1.5,4.3,14.9,.665,.692,.280,.689,.694,.674,F,LALNOP,hayesja02
302,Terrence Ross,25.0,TOR,1,8,2012,Washington,2012-13,2022-23,21-31,733,187,0,5.9,14.1,3.2,6.7,2.7,7.4,1.7,2.0,0.5,3.6,4.1,1.9,1.2,0.5,1.4,2.5,16.1,.418,.480,.362,.837,.538,.513,F-G,ORLPHOTOR,rosste01
303,Bogdan Bogdanović,25.0,PHO,1,27,2014,,2017-18,2025-26,25-33,526,200,0,6.5,14.9,3.4,6.8,3.1,8.1,1.8,2.2,0.6,3.6,4.2,4.1,1.3,0.3,1.8,2.7,17.9,.436,.500,.381,.845,.564,.539,G,ATLLACSAC,bogdabo01
304,Chris Duhon,25.0,CHI,2,38,2004,Duke,2004-05,2012-13,22-30,606,319,0,3.1,8.0,1.6,3.8,1.5,4.1,1.4,1.7,0.5,2.7,3.2,6.2,1.1,0.1,2.1,2.2,9.1,.393,.426,.363,.784,.523,.488,G,CHILALNYKORL,duhonch01
305,Dante Cunningham,24.9,POR,2,33,2009,Villanova,2009-10,2018-19,22-31,715,195,0,4.3,9.1,3.8,7.6,0.5,1.5,0.9,1.4,1.9,4.5,6.5,1.2,1.1,0.8,0.9,3.0,10.0,.469,.494,.345,.649,.513,.498,F,BRKCHAMEMMINNOPPORSAS,cunnida01
306,Martell Webster,24.7,POR,1,6,2005,,2005-06,2014-15,19-28,580,266,0,4.4,10.5,2.3,5.2,2.0,5.3,2.3,2.9,0.9,3.8,4.7,1.5,0.8,0.4,1.4,2.7,13.1,.418,.454,.382,.791,.556,.515,G-F,MINPORWAS,webstma02
307,Eduardo Nájera,24.7,HOU,2,38,2000,Oklahoma,2000-01,2011-12,24-35,619,85,0,3.9,8.0,3.5,6.9,0.4,1.1,1.7,2.6,2.9,4.5,7.4,1.6,1.4,0.7,1.3,4.4,9.8,.481,.509,.311,.671,.534,.503,F,CHADALDENGSWNJN,najered01
308,Monte Morris,24.7,DEN,2,51,2017,Iowa State,2017-18,2025-26,22-30,426,166,0,5.7,12.1,4.0,7.7,1.7,4.4,1.4,1.7,0.5,3.1,3.6,5.5,1.1,0.3,1.1,1.6,14.6,.473,.522,.388,.824,.567,.544,G,DENDETINDMINPHOWAS,morrimo01
309,Brandon Clarke,24.6,OKC,1,21,2019,Gonzaga,2019-20,2025-26,23-29,309,50,0,7.5,12.5,7.2,11.4,0.3,1.1,2.3,3.3,3.1,6.3,9.5,2.3,1.3,1.4,1.2,3.3,17.7,.605,.637,.266,.697,.634,.616,F,MEM,clarkbr01
310,Chris Kaman,24.6,LAC,1,6,2003,Central Michigan,2003-04,2015-16,21-33,735,538,1,6.3,12.9,6.3,12.8,0.0,0.0,2.5,3.3,2.7,7.5,10.2,1.7,0.6,1.7,2.8,3.6,15.0,.489,.490,.042,.743,.525,.489,C,DALLACLALNOHPOR,kamanch01
311,Delonte West,24.5,BOS,1,24,2004,Saint Joseph's,2004-05,2011-12,21-28,432,258,0,4.9,10.9,3.7,7.8,1.1,3.1,1.9,2.3,0.6,3.2,3.8,4.7,1.4,0.5,2.1,2.5,12.8,.448,.479,.372,.826,.538,.501,G,BOSCLEDALSEA,westde01
312,Trey Murphy III,24.4,MEM,1,17,2021,Virginia,2021-22,2025-26,21-25,317,206,0,6.4,14.0,3.3,5.7,3.2,8.3,3.0,3.4,1.0,4.3,5.3,2.8,1.2,0.6,1.3,2.1,19.1,.459,.571,.382,.878,.613,.572,F,NOP,murphtr02
313,Ja Morant,24.3,MEM,1,2,2019,Murray State,2019-20,2025-26,20-26,327,325,2,9.2,19.7,7.7,14.8,1.5,4.8,5.6,7.3,1.0,4.2,5.3,8.4,1.2,0.3,3.8,1.9,25.4,.466,.516,.311,.773,.557,.504,G,MEM,moranja01
314,Jodie Meeks,24.3,MIL,2,41,2009,Kentucky,2009-10,2018-19,22-31,539,204,0,4.9,11.8,2.6,5.6,2.3,6.2,2.6,3.0,0.4,2.9,3.3,1.7,1.2,0.1,1.2,1.9,14.8,.420,.471,.373,.879,.565,.517,G,DETLALMILORLPHITORWAS,meeksjo01
315,Franz Wagner,24.2,ORL,1,8,2021,Michigan,2021-22,2025-26,20-24,325,323,0,8.0,16.8,6.3,11.8,1.6,5.0,4.0,4.7,1.1,4.4,5.5,4.1,1.1,0.4,2.1,2.5,21.6,.475,.540,.324,.851,.573,.524,G-F,ORL,wagnefr01
316,Alex Len,23.9,PHO,1,5,2013,Maryland,2013-14,2024-25,20-31,690,244,0,5.5,10.7,5.1,9.6,0.3,1.1,2.9,4.2,3.6,7.5,11.1,1.8,0.8,1.9,2.3,4.9,14.1,.510,.531,.322,.678,.562,.526,C,ATLLALPHOSACTORWAS,lenal01
317,Jason Thompson,23.8,SAC,1,12,2008,Rider,2008-09,2015-16,22-29,588,412,0,5.1,10.3,5.1,10.2,0.0,0.1,2.4,3.6,3.1,6.4,9.4,1.5,0.7,1.0,1.8,4.3,12.7,.496,.500,.143,.657,.530,.497,F-C,GSWSACTOR,thompja02
318,Jalen Williams,23.8,OKC,1,12,2022,Santa Clara,2022-23,2025-26,21-24,248,235,1,8.1,16.0,6.6,11.9,1.5,4.0,3.2,3.9,1.0,4.4,5.3,5.2,1.6,0.6,2.2,2.8,20.9,.509,.555,.374,.808,.592,.556,G,OKC,willija06
319,Randy Foye,23.5,BOS,1,7,2006,Villanova,2006-07,2016-17,23-33,752,433,0,5.0,12.6,3.0,7.0,2.1,5.6,2.3,2.7,0.5,2.7,3.1,3.9,1.0,0.4,2.1,3.0,14.4,.401,.429,.366,.852,.524,.482,G,BRKDENLACMINOKCUTAWAS,foyera01
320,Willie Cauley-Stein,23.3,SAC,1,6,2015,Kentucky,2015-16,2021-22,22-28,422,255,0,6.0,11.1,6.0,10.9,0.0,0.1,2.2,3.6,2.7,6.9,9.6,2.3,1.4,1.3,1.5,3.8,14.3,.544,.548,.188,.612,.564,.545,F-C,DALGSWPHISAC,caulewi01
321,Terance Mann,23.3,LAC,2,48,2019,Florida State,2019-20,2025-26,23-29,475,220,0,4.9,9.9,3.6,6.4,1.3,3.5,1.7,2.2,1.6,4.0,5.6,3.3,0.9,0.4,1.3,3.1,12.8,.496,.566,.371,.782,.591,.562,G-F,ATLBRKLAC,mannte01
