--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,,,,,,,Per 36 MP,,,,,,,,,,,,,,,,,,,,,,,,,-additional
Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
17,DeMar DeRozan,114.1,TOR,1,9,2009,Southern California,2009-10,2025-26,20-36,1264,1252,6,7.9,16.8,7.3,15.0,0.5,1.8,5.7,6.8,0.7,3.8,4.5,4.3,1.0,0.3,2.0,2.3,22.0,.471,.491,.302,.843,.558,.487,G-F,CHISACSASTOR,derozde01
18,Russell Westbrook,112.9,OKC,1,4,2008,UCLA,2008-09,2025-26,20-37,1301,1133,9,8.2,18.7,6.9,14.6,1.3,4.1,5.1,6.6,1.7,5.8,7.6,8.7,1.7,0.3,4.2,2.8,22.7,.438,.475,.308,.771,.526,.472,G,DENHOULACLALOKCSACWAS,westbru01
19,Kyle Lowry,112.4,MEM,1,24,2006,Villanova,2006-07,2025-26,20-39,1187,898,6,5.1,12.2,3.0,6.3,2.2,5.9,3.6,4.4,0.9,4.0,4.9,7.0,1.5,0.3,2.6,3.1,16.0,.423,.476,.367,.815,.569,.512,G,HOUMEMMIAPHITOR,lowryky01
20,Kawhi Leonard,111.9,IND,1,15,2011,San Diego State,2011-12,2025-26,20-34,798,769,7,8.5,17.0,6.6,12.1,1.9,4.9,4.6,5.3,1.3,5.9,7.2,3.5,2.0,0.7,1.9,1.8,23.5,.499,.543,.391,.863,.607,.556,F,LACSASTOR,leonaka01
21,Tony Parker,111.3,SAS,1,28,2001,,2001-02,2018-19,19-36,1254,1151,6,7.3,14.9,6.8,13.4,0.5,1.5,3.2,4.3,0.4,2.8,3.2,6.6,1.0,0.1,2.7,1.9,18.3,.491,.510,.324,.751,.546,.508,G,CHOSAS,parketo01
22,Carmelo Anthony,108.5,DEN,1,3,2003,Syracuse,2003-04,2021-22,19-37,1260,1120,10,8.4,18.7,6.9,14.7,1.4,4.0,5.2,6.4,1.6,4.8,6.5,2.8,1.0,0.5,2.5,2.9,23.4,.447,.472,.355,.814,.543,.485,F,DENHOULALNYKOKCPOR,anthoca01
23,Mike Conley,107.6,MEM,1,4,2007,Ohio State,2007-08,2025-26,20-38,1226,1143,1,5.6,12.9,3.7,7.9,1.9,4.9,2.9,3.5,0.6,2.8,3.4,6.5,1.6,0.2,2.1,2.3,16.0,.436,.467,.387,.826,.556,.510,G,MEMMINUTA,conlemi01
24,Chris Bosh,106.0,TOR,1,4,2003,Georgia Tech,2003-04,2015-16,19-31,893,881,11,7.0,14.2,6.7,13.2,0.3,1.0,5.0,6.3,2.2,6.4,8.6,2.0,0.8,1.1,2.0,2.4,19.4,.494,.506,.335,.799,.571,.506,F-C,MIATOR,boshch01
25,Tyson Chandler,102.1,LAC,1,2,2001,,2001-02,2019-20,19-37,1160,886,1,4.1,6.8,4.1,6.8,0.0,0.0,2.7,4.2,4.0,7.9,11.9,1.1,0.7,1.5,1.9,3.7,10.8,.597,.598,.000,.644,.626,.597,C,CHACHIDALHOULALNOHNOKNYKPHO,chandty01
26,Andre Iguodala,100.4,PHI,1,9,2004,Arizona,2004-05,2022-23,21-39,1231,784,1,4.6,9.9,3.6,6.9,1.0,3.0,2.6,3.6,1.0,4.5,5.5,4.7,1.6,0.6,2.0,2.0,12.7,.463,.520,.330,.709,.553,.512,F-G,DENGSWMIAPHI,iguodan01
27,DeAndre Jordan,99.4,LAC,2,35,2008,Texas A&M,2008-09,2025-26,20-37,1123,798,1,5.0,7.4,5.0,7.4,0.0,0.0,2.3,4.8,4.1,9.8,13.9,1.4,0.7,2.0,1.9,3.5,12.2,.673,.675,.154,.475,.644,.674,C,BRKDALDENLACLALNOPNYKPHI,jordade01
28,Kevin Love,96.0,MEM,1,5,2008,UCLA,2008-09,2025-26,20-37,989,698,5,6.6,15.1,4.4,9.1,2.2,6.0,4.7,5.6,2.9,9.5,12.4,2.9,0.8,0.5,2.2,2.4,20.1,.437,.483,.369,.828,.571,.511,F-C,CLEMIAMINUTA,loveke01
29,Paul Millsap,95.4,UTA,2,47,2006,Louisiana Tech,2006-07,2021-22,21-36,1085,746,4,6.4,13.2,5.8,11.3,0.6,1.9,3.6,4.9,2.8,6.3,9.1,2.8,1.6,1.2,2.2,3.8,17.2,.489,.513,.341,.736,.559,.513,F,ATLBRKDENPHIUTA,millspa01
30,Karl-Anthony Towns,94.6,MIN,1,1,2015,Kentucky,2015-16,2025-26,20-30,720,720,6,8.9,17.0,7.0,12.4,1.8,4.6,4.7,5.6,3.0,8.9,11.9,3.4,0.9,1.2,2.9,3.6,24.3,.522,.568,.397,.840,.624,.575,C-F,MINNYK,townska01
31,Brook Lopez,94.2,NJN,1,10,2008,Stanford,2008-09,2025-26,20-37,1180,1105,1,7.1,14.3,5.9,10.9,1.2,3.5,3.2,4.0,2.3,4.9,7.2,1.8,0.7,2.2,1.9,3.1,18.6,.494,.539,.353,.797,.577,.537,C,BRKLACLALMILNJN,lopezbr01
32,Amar'e Stoudemire,92.5,PHO,1,9,2002,,2002-03,2015-16,20-33,846,696,6,8.1,15.1,8.1,14.9,0.0,0.2,5.7,7.5,2.8,6.3,9.1,1.4,0.9,1.4,2.7,3.7,21.9,.537,.540,.236,.761,.597,.538,F-C,DALMIANYKPHO,stoudam01
33,Paul George,92.0,IND,1,10,2010,Fresno State,2010-11,2025-26,20-35,945,897,9,7.5,17.1,4.7,9.9,2.8,7.3,4.1,4.9,0.9,5.8,6.7,4.0,1.8,0.5,2.8,2.8,22.0,.440,.481,.384,.852,.571,.521,F-G,INDLACOKCPHI,georgpa01
34,Kyrie Irving,91.0,CLE,1,1,2011,Duke,2011-12,2024-25,19-32,779,779,9,9.1,19.2,6.6,12.8,2.5,6.4,4.0,4.5,0.9,3.4,4.2,5.8,1.4,0.5,2.6,2.4,24.7,.474,.514,.394,.888,.584,.540,G,BOSBRKCLEDAL,irvinky01
35,Jonas Valančiūnas,87.6,TOR,1,5,2011,,2012-13,2025-26,20-33,1002,854,0,7.5,13.5,7.2,12.4,0.4,1.1,3.5,4.4,3.9,9.4,13.3,2.0,0.6,1.3,2.4,4.1,18.9,.561,.580,.340,.793,.616,.575,C,DENMEMNOPSACTORWAS,valanjo01
36,David West,85.8,NOH,1,18,2003,Xavier,2003-04,2017-18,23-37,1034,742,2,7.0,14.2,7.0,14.0,0.1,0.3,3.2,3.9,2.2,5.9,8.1,2.8,0.9,1.0,2.1,3.0,17.3,.495,.499,.265,.817,.544,.498,F-C,GSWINDNOHNOKSAS,westda01
37,Marc Gasol,85.3,LAL,2,48,2007,,2008-09,2020-21,24-36,891,866,3,5.8,12.1,5.3,10.6,0.5,1.5,3.5,4.5,1.8,6.5,8.3,3.8,1.0,1.6,2.2,3.2,15.7,.481,.498,.360,.776,.557,.503,C,LALMEMTOR,gasolma01
38,Nikola Vučević,84.3,PHI,1,16,2011,Southern California,2011-12,2025-26,21-35,1036,957,2,8.4,16.9,7.3,13.7,1.1,3.2,1.8,2.4,2.9,9.1,11.9,3.4,1.0,1.0,2.0,2.8,19.7,.497,.531,.350,.773,.550,.530,C,BOSCHIORLPHI,vucevni01
39,Richard Jefferson,83.0,HOU,1,13,2001,Arizona,2001-02,2017-18,21-37,1181,809,0,5.4,11.7,4.3,8.7,1.1,2.9,3.7,4.9,1.0,4.0,5.0,2.5,0.8,0.4,1.9,2.8,15.6,.464,.493,.376,.768,.567,.511,F,CLEDALDENGSWMILNJNSASUTA,jefferi01
40,Joe Johnson,82.9,BOS,1,10,2001,Arkansas,2001-02,2021-22,20-40,1277,1091,7,6.4,14.4,4.8,10.1,1.6,4.3,2.3,2.8,0.9,3.2,4.1,4.1,0.9,0.2,2.0,1.8,16.6,.441,.472,.371,.802,.530,.497,G-F,ATLBOSBRKHOUMIAPHOUTA,johnsjo02
41,Blake Griffin,81.1,LAC,1,1,2009,Oklahoma,2010-11,2022-23,21-33,765,692,6,8.0,16.2,7.2,13.8,0.8,2.4,4.6,6.7,2.2,6.8,9.0,4.5,0.9,0.5,2.6,3.0,21.4,.493,.522,.328,.696,.559,.518,F-C,BOSBRKDETLAC,griffbl01
42,Zach Randolph,81.1,POR,1,19,2001,Michigan State,2001-02,2017-18,20-36,1116,883,2,7.7,16.4,7.5,15.6,0.2,0.8,3.6,4.8,3.4,7.2,10.6,2.1,0.9,0.3,2.4,2.7,19.3,.471,.481,.273,.764,.522,.478,F-C,LACMEMNYKPORSAC,randoza01
43,Tobias Harris,80.6,CHA,1,19,2011,Tennessee,2011-12,2025-26,19-33,1033,913,0,7.0,14.6,5.4,10.4,1.5,4.2,2.7,3.3,1.1,5.8,7.0,2.7,0.9,0.6,1.6,2.3,18.2,.478,.523,.366,.838,.569,.531,F,DETLACMILORLPHI,harrito02
44,Carlos Boozer,80.3,CLE,2,35,2002,Duke,2002-03,2014-15,21-33,861,775,2,7.8,15.0,7.8,15.0,0.0,0.0,3.1,4.2,2.7,8.2,11.0,2.6,1.0,0.5,2.4,3.5,18.7,.521,.522,.071,.722,.554,.521,F-C,CHICLELALUTA,boozeca01
45,Andre Drummond,80.0,DET,1,9,2012,Connecticut,2012-13,2025-26,19-32,967,688,2,6.9,12.9,6.9,12.5,0.1,0.3,2.6,5.3,5.6,10.7,16.3,1.7,1.7,1.7,2.4,3.9,16.5,.539,.547,.217,.489,.544,.542,C,BRKCHICLEDETLALPHI,drumman01
46,Jrue Holiday,78.1,PHI,1,17,2009,UCLA,2009-10,2025-26,19-35,1090,1007,2,6.8,14.8,5.1,10.1,1.7,4.7,2.1,2.6,1.1,3.5,4.6,6.8,1.5,0.5,2.8,2.3,17.4,.461,.503,.370,.790,.547,.520,G,BOSMILNOPPHIPOR,holidjr01
47,Deron Williams,77.3,UTA,1,3,2005,Illinois,2005-06,2016-17,21-32,845,771,3,6.1,13.7,4.6,9.6,1.5,4.1,3.6,4.4,0.4,2.8,3.3,8.5,1.1,0.3,3.0,2.7,17.2,.445,.482,.357,.822,.552,.498,G,BRKCLEDALNJNUTA,willide01
48,David Lee,76.0,NYK,1,30,2005,Florida,2005-06,2016-17,22-33,829,505,2,6.8,12.7,6.8,12.7,0.0,0.0,3.0,4.0,3.2,7.7,10.8,2.7,0.9,0.5,2.2,3.2,16.6,.535,.537,.034,.772,.577,.536,F-C,BOSDALGSWNYKSAS,leeda02
49,Shane Battier,75.7,MEM,1,6,2001,Duke,2001-02,2013-14,23-35,977,705,0,3.6,8.2,2.1,4.3,1.5,3.9,1.4,1.9,1.5,3.4,4.9,2.1,1.2,1.1,1.1,2.6,10.1,.437,.486,.384,.743,.559,.529,F,HOUMEMMIA,battish01
50,Nicolas Batum,75.6,HOU,1,25,2008,,2008-09,2025-26,20-37,1205,877,0,4.3,10.0,2.4,4.7,2.0,5.3,1.6,2.0,1.2,4.8,6.0,3.8,1.1,0.8,1.8,2.2,12.3,.436,.510,.371,.831,.567,.534,F-G,CHOLACPHIPOR,batumni01
51,Shai Gilgeous-Alexander,75.6,CHA,1,11,2018,Kentucky,2018-19,2025-26,20-27,530,521,4,9.6,18.9,8.1,14.7,1.5,4.2,6.8,7.9,0.8,4.3,5.1,5.8,1.6,0.9,2.5,2.4,27.5,.508,.551,.360,.864,.616,.548,G,LACOKC,gilgesh01
52,Luol Deng,74.0,PHO,1,7,2004,Duke,2004-05,2018-19,19-33,902,828,2,6.0,13.1,5.2,10.8,0.8,2.3,2.8,3.7,1.7,4.7,6.4,2.4,1.0,0.5,1.7,1.7,15.5,.456,.482,.332,.769,.528,.485,F,CHICLELALMIAMIN,denglu01
53,Kyle Korver,73.4,NJN,2,51,2003,Creighton,2003-04,2019-20,22-38,1232,423,1,4.7,10.7,1.9,4.1,2.8,6.6,1.5,1.7,0.4,3.8,4.2,2.4,0.9,0.5,1.5,2.9,13.8,.442,.464,.429,.877,.602,.574,G-F,ATLCHICLEMILPHIUTA,korveky01
54,Nenê,73.3,NYK,1,7,2002,,2002-03,2018-19,20-36,965,626,0,6.0,10.9,5.9,10.8,0.0,0.1,3.6,5.5,2.4,5.9,8.3,2.5,1.5,1.0,2.4,4.2,15.6,.548,.551,.132,.660,.585,.548,F-C,DENHOUWAS,hilarne01
55,Jarrett Allen,73.1,NJN,1,22,2017,Texas,2017-18,2025-26,19-27,624,559,1,6.7,10.4,6.6,10.1,0.0,0.3,3.3,4.7,3.6,8.1,11.7,2.2,0.9,1.5,1.7,2.5,16.7,.641,.653,.159,.711,.670,.643,C-F,BRKCLE,allenja01
56,Serge Ibaka,73.0,OKC,1,24,2008,,2009-10,2022-23,20-33,919,697,0,6.6,12.8,5.7,10.3,0.9,2.4,1.8,2.4,2.7,6.6,9.3,1.1,0.5,2.5,1.7,3.6,15.8,.513,.550,.359,.757,.571,.548,F-C,LACMILOKCORLTOR,ibakase01
57,Clint Capela,72.6,HOU,1,25,2014,,2014-15,2025-26,20-31,739,590,0,7.0,11.5,7.0,11.5,0.0,0.0,2.1,3.8,5.1,9.3,14.4,1.4,1.0,2.0,1.5,3.2,16.2,.613,.613,.125,.546,.614,.613,C,ATLHOU,capelca01
