--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
277,Jarvis Hayes,1510,WAS,1,10,2003,Georgia,1999-00,2002-03,84,82,9.2,,,6.0,3.3,.140,,,,,,,8.0,11.2,,0.9,9.5,26.3,F,GeorgiaWestern Carolina,jarvis-hayes-1
278,Jerome Jordan,1508,MIL,2,44,2010,Tulsa,2006-07,2009-10,133,119,20.9,116,92,10.3,10.6,.260,,,,27.4,9.6,24.0,17.6,8.3,0.9,8.2,17.7,24.2,C,Tulsa,jerome-jordan-1
279,Carlos Boozer,1506,CLE,2,35,2002,Duke,1999-00,2001-02,101,93,19.0,,,11.4,7.6,.290,,,,,,,,,,,12.2,,C,Duke,carlos-boozer-1
280,DeMarre Carroll,1506,MEM,1,27,2009,Missouri,2004-05,2008-09,134,89,14.9,,,7.0,7.9,.181,,,,,,,14.0,13.7,,1.2,11.7,22.1,F,MissouriVanderbilt,demarre-carroll-1
281,Bernard Robinson Jr,1505,CHA,2,45,2004,Michigan,2000-01,2003-04,120,104,9.6,,,4.7,4.8,.105,,,,,,,10.6,21.9,,1.4,19.6,24.8,F,Michigan,bernard-robinson-1
282,Ayo Dosunmu,1504,CHI,2,38,2021,Illinois,2018-19,2020-21,90,90,11.5,109,101,7.3,4.2,.154,4.8,2.0,6.9,20.2,2.8,13.7,8.3,24.2,1.9,0.7,15.2,26.7,G,Illinois,ayo-dosunmu-1
283,Jason Hart,1503,MIL,2,49,2000,Syracuse,1996-97,1999-00,132,131,11.6,,,3.1,8.5,.103,,,,,,,,,,,22.0,,G,Syracuse,jason-hart-1
284,Micah Peavy,1503,WAS,2,40,2025,Georgetown,2020-21,2024-25,159,108,11.7,104,100,4.6,7.0,.114,1.0,2.7,3.6,15.0,7.1,12.0,9.5,14.9,2.6,1.9,15.0,21.1,G,GeorgetownTCUTexas Tech,micah-peavy-1
285,Tyler Zeller,1503,DAL,1,17,2012,North Carolina,2008-09,2011-12,117,75,15.5,123,93,9.9,5.6,.231,6.4,3.7,10.2,27.3,12.3,18.1,15.1,4.9,1.6,4.6,11.6,24.1,F,North Carolina,tyler-zeller-1
286,Dan Langhi,1502,DAL,2,31,2000,Vanderbilt,1996-97,1999-00,121,61,11.4,,,8.1,3.3,.154,,,,,,,,,,,12.6,,F,Vanderbilt,dan-langhi-1
287,Bracey Wright,1498,MIN,2,47,2005,Indiana,2002-03,2004-05,85,85,10.3,,,6.3,4.0,.136,,,,,,,8.5,17.7,,1.3,12.5,28.0,G,Indiana,bracey-wright-1
288,Sammy Mejia,1494,DET,2,57,2007,DePaul,2003-04,2006-07,123,117,11.4,,,5.7,5.7,.119,,,,,,,8.0,23.1,,0.2,16.3,22.3,G,DePaul,sammy-mejia-1
289,Hanno Mottola,1492,ATL,2,40,2000,Utah,1996-97,1999-00,120,87,15.2,,,9.4,5.8,.195,,,,,,,,,,,15.6,,F,Utah,hanno-mottola-1
290,Michael Wright,1491,NYK,2,39,2001,Arizona,1998-99,2000-01,99,95,15.7,,,10.3,5.4,.221,,,,,,,,,,,12.9,,F,Arizona,michael-wright-1
291,Rod Grizzard,1487,WAS,2,39,2002,Alabama,1999-00,2001-02,100,94,11.7,,,4.4,7.3,.155,,,,,,,,,,,14.3,,G,Alabama,rod-grizzard-1
292,Nick Young,1486,WAS,1,16,2007,Southern California,2004-05,2006-07,96,90,10.9,,,7.3,3.7,.146,,,,,,,11.6,11.7,,0.5,13.4,27.1,F,Southern California,nick-young-1
293,Joel Bolomboy,1484,UTA,2,52,2016,Weber State,2012-13,2015-16,130,90,17.5,115,94,9.6,7.8,.187,1.5,0.1,1.5,22.9,14.4,27.2,21.3,5.4,1.2,4.6,17.3,21.4,F,Weber State,joel-bolomboy-1
294,Chandler Hutchison,1478,CHI,1,22,2018,Boise State,2014-15,2017-18,123,89,12.3,109,97,6.5,5.8,.167,2.6,2.5,5.1,21.2,5.6,21.1,13.5,18.7,2.3,1.1,15.0,26.9,G,Boise State,chandler-hutchison-1
295,Brandon Roy,1477,MIN,1,6,2006,Washington,2002-03,2005-06,103,71,13.3,,,7.8,5.5,.188,,,,,,,10.5,20.1,,1.2,14.7,23.8,G,Washington,brandon-roy-1
296,Brandon Rush,1477,POR,1,13,2008,Kansas,2005-06,2007-08,109,101,14.9,,,6.8,8.1,.174,,,,,,,9.8,11.3,,1.8,14.8,21.8,G,Kansas,brandon-rush-1
297,Guillermo Diaz,1477,LAC,2,52,2006,Miami (FL),2003-04,2005-06,93,81,11.2,,,7.2,4.0,.148,,,,,,,5.9,17.1,,0.6,12.7,25.3,G,Miami (FL),guillermo-diaz-1
298,Kris Joseph,1476,BOS,2,51,2012,Syracuse,2008-09,2011-12,140,77,14.8,114,96,8.0,6.7,.159,4.3,2.7,7.0,19.8,5.7,12.9,9.5,10.6,2.7,2.0,13.8,21.9,F,Syracuse,kris-joseph-1
299,Roy Hibbert,1476,TOR,1,17,2008,Georgetown,2004-05,2007-08,136,121,22.0,,,11.7,10.3,.278,,,,,,,16.2,13.1,,6.3,14.9,24.6,C,Georgetown,roy-hibbert-1
300,Jalen Wilson,1475,NJN,2,51,2023,Kansas,2019-20,2022-23,104,89,13.0,110,97,7.0,6.0,.163,4.7,2.4,7.1,19.3,6.5,21.5,14.2,12.2,1.4,1.4,12.1,24.6,F,Kansas,jalen-wilson-1
301,Amari Williams,1472,ORL,2,46,2025,Kentucky,2020-21,2024-25,141,115,13.9,109,93,6.7,7.3,.185,3.4,3.9,7.3,26.7,11.1,28.4,19.9,19.3,2.1,8.0,18.6,27.6,F,DrexelKentucky,amari-williams-2
302,Dwight Powell,1465,CHA,2,45,2014,Stanford,2010-11,2013-14,136,105,13.0,105,95,6.1,6.9,.146,1.8,3.3,5.0,19.4,7.4,21.9,14.3,14.6,2.1,3.5,17.1,23.8,F,Stanford,dwight-powell-1
303,Pat Connaughton,1465,NJN,2,41,2015,Notre Dame,2011-12,2014-15,139,123,15.9,121,103,10.6,5.3,.142,5.0,1.7,6.7,17.8,3.9,18.6,11.4,11.1,1.3,1.6,9.8,16.9,G,Notre Dame,pat-connaughton-1
304,Ajay Mitchell,1463,NYK,2,38,2024,UC Santa Barbara,2021-22,2023-24,91,87,13.6,119,103,9.7,3.9,.184,3.3,0.3,3.5,22.0,1.0,9.9,5.7,27.4,2.1,1.0,14.2,25.3,G,UC Santa Barbara,ajay-mitchell-1
305,Dijon Thompson,1458,NYK,2,54,2005,UCLA,2001-02,2004-05,117,72,9.7,,,6.5,3.2,.120,,,,,,,10.7,15.7,,1.0,17.8,24.2,G,UCLA,dijon-thompson-1
306,Frank Kaminsky,1458,CHA,1,9,2015,Wisconsin,2011-12,2014-15,144,79,19.1,127,94,12.8,6.3,.259,8.4,4.6,13.0,29.6,7.9,20.7,14.4,14.9,1.7,5.2,9.2,25.5,C,Wisconsin,frank-kaminsky-1
307,Marcus Sasser,1458,MEM,1,25,2023,Houston,2019-20,2022-23,107,93,16.6,120,93,9.9,6.7,.212,5.5,3.5,9.0,19.8,1.3,8.8,5.1,16.1,2.8,0.5,10.1,23.4,G,Houston,marcus-sasser-1
308,Justin Harper,1457,CLE,2,32,2011,Richmond,2007-08,2010-11,137,96,13.8,118,94,8.1,5.7,.176,8.2,1.5,9.7,25.8,7.1,17.8,12.4,7.5,1.5,3.6,12.1,24.6,F,Richmond,justin-harper-1
309,Tristan Da Silva,1456,ORL,1,18,2024,Colorado,2020-21,2023-24,124,98,12.3,114,101,7.2,5.1,.148,3.7,2.2,5.8,17.9,4.4,12.1,8.3,11.9,1.9,1.5,14.1,21.8,F,Colorado,tristan-dasilva-1
310,Chris Carrawell,1455,SAS,2,41,2000,Duke,1996-97,1999-00,136,94,14.9,,,6.1,8.8,.168,,,,,,,,,,,14.8,,F,Duke,chris-carrawell-1
311,Chandler Parsons,1452,HOU,2,38,2011,Florida,2007-08,2010-11,142,81,15.5,115,97,8.4,7.2,.157,5.1,3.2,8.3,20.5,7.7,18.2,13.0,19.1,2.0,0.9,15.3,19.6,F,Florida,chandler-parsons-1
312,Earl Watson,1449,OKC,2,40,2001,UCLA,1997-98,2000-01,129,129,12.0,,,5.8,6.2,.110,,,,,,,,,,,23.7,,G,UCLA,earl-watson-1
313,Anton Watson,1447,BOS,2,54,2024,Gonzaga,2019-20,2023-24,151,94,19.1,127,94,11.4,7.7,.213,4.9,4.2,9.0,22.8,8.8,15.5,12.4,12.9,3.3,2.5,12.7,18.3,F,Gonzaga,anton-watson-1
314,D.J. White,1447,DET,1,29,2008,Indiana,2004-05,2007-08,99,97,18.5,,,9.1,9.4,.244,,,,,,,15.3,6.6,,4.7,12.5,24.2,F,Indiana,dj-white-1
315,Aaron Holiday,1443,IND,1,23,2018,UCLA,2015-16,2017-18,101,65,9.8,110,107,6.7,3.2,.123,3.0,1.2,4.2,17.4,1.7,8.7,5.4,25.5,2.2,0.7,19.6,23.3,G,UCLA,aaron-holiday-1
316,Armon Johnson,1441,POR,2,34,2010,Nevada,2007-08,2009-10,101,99,9.3,106,110,6.0,3.3,.112,,,,18.8,2.6,8.0,6.3,25.3,1.4,0.7,17.0,22.9,G,Nevada,armon-johnson-1
317,Brian Scalabrine,1441,NJN,2,35,2001,Southern California,1998-99,2000-01,92,91,13.0,,,8.0,5.0,.171,,,,,,,,,,,20.1,,C,Southern California,brian-scalabrine-1
318,Frank Williams,1440,DEN,1,25,2002,Illinois,1999-00,2001-02,101,97,11.2,,,4.3,6.9,.140,,,,,,,,,,,16.4,,G,Illinois,frank-williams-1
319,Joe Crawford,1438,LAL,2,58,2008,Kentucky,2004-05,2007-08,127,76,9.1,,,5.8,3.3,.114,,,,,,,8.1,11.7,,0.5,13.0,24.9,G,Kentucky,joe-crawford-1
320,Rodney Stuckey,1438,DET,1,15,2007,Eastern Washington,2005-06,2006-07,59,59,8.3,,,7.2,1.1,.170,,,,,,,8.9,30.7,,0.6,14.2,36.3,G,Eastern Washington,rodney-stuckey-1
321,David Lee,1436,NYK,1,30,2005,Florida,2001-02,2004-05,127,93,18.0,,,9.6,8.4,.227,,,,,,,16.3,17.3,,2.4,18.2,23.5,F,Florida,david-lee-1
322,Jake Layman,1436,ORL,2,47,2016,Maryland,2012-13,2015-16,141,115,14.4,113,98,7.6,6.8,.146,3.5,3.0,6.5,17.3,5.0,14.2,9.9,8.2,1.9,3.1,14.0,19.3,F,Maryland,jake-layman-1
323,Jordan Clarkson,1433,WAS,2,46,2014,Missouri,2010-11,2013-14,93,75,10.1,109,105,6.9,3.2,.136,3.0,0.5,3.5,19.1,3.2,9.4,6.4,20.5,1.8,1.0,16.3,27.8,G,MissouriTulsa,jordan-clarkson-1
324,Will Solomon,1431,MEM,2,33,2001,Clemson,1998-99,2000-01,94,64,7.3,,,4.5,2.8,.107,,,,,,,,,,,19.0,,G,Clemson,will-solomon-1
325,Solomon Hill,1430,IND,1,23,2013,Arizona,2009-10,2012-13,139,129,15.0,112,99,9.0,6.0,.149,4.3,2.7,6.9,17.9,7.8,15.8,11.8,15.8,1.9,1.3,19.1,19.7,F,Arizona,solomon-hill-1
326,Lavor Postell,1427,NYK,2,39,2000,St. John's (NY),1996-97,1999-00,129,104,11.6,,,5.2,6.3,.123,,,,,,,,,,,14.3,,F,St. John's (NY),lavor-postell-1
327,Elfrid Payton,1426,PHI,1,10,2014,Louisiana–Lafayette,2011-12,2013-14,100,78,10.9,105,99,6.1,4.9,.139,2.3,1.6,4.0,21.3,5.2,13.5,9.2,32.0,3.5,1.6,20.1,25.6,G,Louisiana–Lafayette,elfrid-payton-1
328,Emeka Okafor,1426,CHA,1,2,2004,Connecticut,2001-02,2003-04,103,103,22.3,,,8.2,14.1,.272,,,,,,,17.5,4.6,,8.3,14.6,23.5,C,Connecticut,emeka-okafor-1
329,KJ Simpson,1426,CHA,2,42,2024,Colorado,2021-22,2023-24,98,66,11.6,111,101,6.9,4.7,.160,3.6,2.5,6.1,19.8,2.6,14.0,8.5,26.2,2.6,0.4,14.6,26.7,G,Colorado,kj-simpson-1
330,Devin Harris,1425,WAS,1,5,2004,Wisconsin,2001-02,2003-04,96,96,17.6,,,9.8,7.8,.210,,,,,,,7.7,28.8,,0.3,12.4,27.6,G,Wisconsin,devin-harris-1
331,Lavoy Allen,1421,PHI,2,50,2011,Temple,2007-08,2010-11,135,130,19.2,114,90,9.5,9.7,.176,2.6,3.1,5.6,21.8,10.8,22.0,16.5,14.3,1.1,5.0,13.0,19.3,F,Temple,lavoy-allen-1
332,Sion James,1420,CHA,2,33,2025,Duke,2020-21,2024-25,153,139,15.5,116,103,8.6,6.9,.126,1.3,2.4,3.7,15.0,2.5,12.7,7.9,16.4,2.5,1.8,14.5,14.9,G,DukeTulane,sion-james-1
333,Brandon Clarke,1419,OKC,1,21,2019,Gonzaga,2015-16,2018-19,98,69,16.4,127,94,10.4,6.0,.241,6.5,3.9,10.4,30.3,11.7,19.6,15.7,14.5,2.0,8.8,11.6,22.5,F,GonzagaSan Jose State,brandon-clarke-1
334,Keyontae Johnson,1416,OKC,2,50,2023,Kansas State,2018-19,2022-23,108,92,13.2,112,97,7.4,5.8,.169,4.2,2.8,7.0,20.8,6.9,20.0,13.6,12.3,2.2,1.1,15.4,23.2,F,FloridaKansas State,keyontae-johnson-1
335,Ronnie Brewer,1416,UTA,1,14,2006,Arkansas,2003-04,2005-06,90,88,13.6,,,6.2,7.4,.184,,,,,,,8.8,21.5,,1.2,13.5,25.0,G,Arkansas,ronnie-brewer-1
336,Scoonie Penn,1416,ATL,2,57,2000,Ohio State,1996-97,1999-00,92,91,13.3,,,7.0,6.3,.167,,,,,,,,,,,15.5,,G,Boston CollegeOhio State,scoonie-penn-1
337,James Gist,1414,SAS,2,57,2008,Maryland,2004-05,2007-08,130,89,14.8,,,6.0,8.8,.183,,,,,,,12.7,8.5,,4.6,15.7,21.4,F,Maryland,james-gist-1
338,Francisco Garcia,1413,SAC,1,23,2005,Louisville,2002-03,2004-05,98,80,18.0,,,8.4,9.6,.261,,,,,,,7.6,28.9,,3.3,16.2,26.1,F,Louisville,francisco-garcia-1
339,Brendan Haywood,1411,CLE,1,20,2001,North Carolina,1997-98,2000-01,141,100,19.3,,,10.6,8.8,.233,,,,,,,,,,,16.7,,C,North Carolina,brendan-haywood-1
340,Lamar Patterson,1410,MIL,2,48,2014,Pittsburgh,2009-10,2013-14,149,106,15.5,114,98,9.4,6.0,.171,5.8,3.4,9.2,20.4,5.9,14.8,10.2,24.3,2.6,1.4,16.0,22.5,G,Pittsburgh,lamar-patterson-1
341,Deron Washington,1408,DET,2,59,2008,Virginia Tech,2004-05,2007-08,128,125,13.3,,,4.3,9.0,.142,,,,,,,10.8,11.0,,2.1,14.2,21.9,F,Virginia Tech,deron-washington-1
342,David Roddy,1406,PHI,1,23,2022,Colorado State,2019-20,2021-22,91,76,13.8,115,97,9.1,4.8,.203,5.1,1.6,6.7,25.3,8.0,21.3,15.0,17.5,1.7,3.5,14.6,26.7,G,Colorado State,david-roddy-1
343,Kirk Haston,1406,CHA,1,16,2001,Indiana,1998-99,2000-01,96,68,11.5,,,4.5,7.0,.178,,,,,,,,,,,12.7,,C,Indiana,kirk-haston-1
344,Chris Mihm,1404,CHI,1,7,2000,Texas,1997-98,1999-00,96,93,15.6,,,6.3,9.3,.222,,,,,,,,,,,14.8,,C,Texas,chris-mihm-1
345,Kirk Snyder,1404,UTA,1,16,2004,Nevada,2001-02,2003-04,84,74,9.9,,,3.9,6.0,.153,,,,,,,8.9,12.2,,2.1,16.2,29.5,G,Nevada,kirk-snyder-1
346,Jarvis Varnado,1403,MIA,2,41,2010,Mississippi State,2006-07,2009-10,141,119,21.2,116,86,8.7,12.6,.236,,,,28.4,10.6,22.9,16.1,5.3,1.2,11.9,14.0,18.9,F,Mississippi State,jarvis-varnado-1
347,Luke Ridnour,1399,OKC,1,14,2003,Oregon,2000-01,2002-03,96,96,11.2,,,7.8,3.4,.139,,,,,,,5.3,35.1,,0.1,20.3,27.1,G,Oregon,luke-ridnour-1
348,Trey Thompkins III,1396,LAC,2,37,2011,Georgia,2008-09,2010-11,89,81,10.2,106,97,5.5,4.7,.155,3.9,2.9,6.8,24.8,7.8,21.7,15.1,11.8,2.0,4.3,15.3,29.7,F,Georgia,trey-thompkins-1
349,Andre Hutson,1393,MIL,2,52,2001,Michigan State,1997-98,2000-01,138,129,22.3,,,11.6,10.7,.250,,,,,,,,,,,17.8,,F,Michigan State,andre-hutson-1
350,Landry Fields,1393,NYK,2,39,2010,Stanford,2006-07,2009-10,129,65,11.8,114,99,6.4,5.4,.155,,,,28.9,7.9,20.6,12.6,15.4,2.6,1.6,13.3,24.9,G,Stanford,landry-fields-1
351,Tyler Kolek,1393,POR,2,34,2024,Marquette,2020-21,2023-24,121,117,14.5,113,101,8.8,5.7,.152,3.9,2.3,6.2,18.9,2.2,12.9,7.6,34.5,2.8,0.4,18.8,20.8,G,George MasonMarquette,tyler-kolek-1
352,Larry Nance,1386,LAL,1,27,2015,Wyoming,2011-12,2014-15,123,89,16.8,112,91,8.4,8.4,.185,2.8,3.2,6.1,22.7,7.1,22.5,15.1,12.7,2.6,4.5,14.0,22.8,F,Wyoming,larry-nance-2
353,Derrick Byars,1384,POR,2,42,2007,Vanderbilt,2002-03,2006-07,126,98,10.7,,,7.3,3.4,.129,,,,,,,7.7,14.1,,0.6,16.4,19.0,G,VanderbiltVirginia,derrick-byars-1
354,Mason Plumlee,1384,NJN,1,22,2013,Duke,2009-10,2012-13,141,99,16.6,111,91,8.3,8.2,.181,4.4,4.0,8.4,22.0,10.8,23.7,17.3,11.1,1.8,5.0,19.2,20.2,F,Duke,mason-plumlee-1
355,James Augustine,1383,ORL,2,41,2006,Illinois,2002-03,2005-06,137,134,26.2,,,11.2,15.0,.282,,,,,,,16.6,7.7,,2.8,15.6,17.9,F,Illinois,james-augustine-1
356,Javon Small,1380,MEM,2,48,2025,West Virginia,2021-22,2024-25,97,80,10.6,111,104,6.5,4.1,.144,4.7,1.8,6.5,19.2,1.7,13.1,7.4,31.7,2.1,0.8,17.3,25.9,G,East CarolinaOklahoma StateWest Virginia,javon-small-1
357,Robert Dozier,1380,MIA,2,60,2009,Memphis,2005-06,2008-09,148,111,22.5,,,5.0,17.5,.243,,,,,,,13.7,8.0,,4.6,15.9,20.2,F,Memphis,robert-dozier-1
358,Jon Leuer,1376,MIL,2,40,2011,Wisconsin,2007-08,2010-11,123,68,14.5,120,97,8.9,5.6,.207,7.9,1.8,9.8,29.2,6.3,21.6,12.8,12.4,1.1,3.3,10.3,28.4,F,Wisconsin,jon-leuer-1
359,Norman Powell,1376,MIL,2,46,2015,UCLA,2011-12,2014-15,141,83,11.0,109,101,6.0,5.0,.123,1.8,2.6,4.5,16.4,1.9,11.9,6.9,11.5,2.6,1.7,12.5,20.3,G,UCLA,norman-powell-1
360,Ty Lawson,1375,MIN,1,18,2009,North Carolina,2006-07,2008-09,105,95,15.7,,,9.0,6.7,.221,,,,,,,5.4,34.4,,0.2,16.6,21.5,G,North Carolina,ty-lawson-1
361,Toumani Camara,1374,PHO,2,52,2023,Dayton,2019-20,2022-23,125,116,12.1,105,96,5.6,6.4,.141,1.5,2.2,3.7,18.8,9.1,19.8,14.7,10.5,2.1,3.2,18.4,22.3,F,DaytonGeorgia,toumani-camara-1
362,Xavier Thames,1374,TOR,2,59,2014,San Diego State,2009-10,2013-14,128,95,13.7,110,97,7.5,6.2,.153,2.9,3.3,6.1,17.1,2.1,9.0,5.5,20.2,2.5,0.7,13.9,22.0,G,San Diego StateWashington State,xavier-thames-1
363,Trent Plaisted,1372,OKC,2,46,2008,Brigham Young,2004-05,2007-08,103,97,12.0,,,5.3,6.7,.172,,,,,,,15.5,13.0,,2.5,14.5,30.3,F,Brigham Young,trent-plaisted-1
364,Marcus Morris,1371,HOU,1,14,2011,Kansas,2008-09,2010-11,109,90,15.2,126,93,9.4,5.8,.232,8.0,2.9,10.9,27.5,12.1,16.7,14.6,10.2,1.9,1.8,13.1,24.5,F,Kansas,marcus-morris-1
365,Mike Dunleavy Jr,1371,GSW,1,3,2002,Duke,1999-00,2001-02,104,76,14.8,,,7.0,7.9,.198,,,,,,,,,,,14.6,,F,Duke,mike-dunleavy-2
366,Danny Green,1368,CLE,2,46,2009,North Carolina,2005-06,2008-09,145,39,16.8,,,6.5,10.4,.233,,,,,,,10.9,15.1,,3.6,14.9,22.3,F,North Carolina,danny-green-1
367,Dan McClintock,1363,DEN,2,53,2000,Northern Arizona,1996-97,1999-00,115,32,14.3,,,10.5,3.8,.262,,,,,,,,,,,16.1,,C,Northern Arizona,dan-mcclintock-1
368,JamesOn Curry,1363,CHI,2,51,2007,Oklahoma State,2004-05,2006-07,101,83,9.6,,,6.4,3.2,.119,,,,,,,5.5,21.9,,0.5,18.9,23.4,G,Oklahoma State,jameson-curry-1
369,Sam Dekker,1363,HOU,1,18,2015,Wisconsin,2012-13,2014-15,113,81,15.9,122,99,10.6,5.3,.201,7.2,2.6,9.8,23.4,7.5,15.1,11.4,10.5,1.5,1.7,8.9,22.9,F,Wisconsin,sam-dekker-1
370,Quincy Acy,1360,TOR,2,37,2012,Baylor,2008-09,2011-12,139,66,16.3,121,96,9.9,6.4,.187,3.2,2.9,6.1,22.4,10.8,17.9,14.4,5.3,1.7,5.3,16.7,19.1,F,Baylor,quincy-acy-1
371,James Jones,1356,IND,2,49,2003,Miami (FL),1999-00,2002-03,122,88,14.3,,,5.2,9.1,.171,,,,,,,10.3,10.3,,4.6,12.9,22.7,F,Miami (FL),james-jones-1
372,Malachi Flynn,1355,TOR,1,29,2020,San Diego State,2016-17,2019-20,94,92,11.3,113,106,8.0,3.3,.144,3.6,1.1,4.7,19.2,2.0,10.6,6.4,24.5,2.4,0.2,13.4,23.4,G,San Diego StateWashington State,malachi-flynn-1
373,Devin Carter,1351,SAC,1,13,2024,Providence,2021-22,2023-24,96,73,11.6,111,97,6.3,5.3,.167,4.8,3.8,8.6,21.8,4.4,18.1,11.4,19.1,3.0,2.9,14.4,25.5,G,ProvidenceSouth Carolina,devin-carter-3
374,Marcus Thornton,1347,MIA,2,43,2009,Louisiana State,2007-08,2008-09,66,65,10.9,,,7.1,3.8,.201,,,,,,,9.3,12.7,,0.8,10.1,30.1,G,Louisiana State,marcus-thornton-1
375,Jason Collier,1345,MIL,1,15,2000,Georgia Tech,1996-97,1999-00,97,82,9.5,,,5.3,4.2,.134,,,,,,,,,,,17.9,,C,Georgia TechIndiana,jason-collier-1
376,Demetris Nichols,1344,POR,2,53,2007,Syracuse,2003-04,2006-07,123,93,11.0,,,5.2,5.8,.139,,,,,,,8.4,8.4,,2.0,12.7,21.4,F,Syracuse,demetris-nichols-1
377,Davon Reed,1343,PHO,2,32,2017,Miami (FL),2013-14,2016-17,131,99,12.5,113,102,7.3,5.2,.136,3.3,2.6,5.9,16.7,2.9,12.4,7.8,12.4,1.9,1.4,13.7,20.2,G,Miami (FL),davon-reed-1
378,Mario Chalmers,1341,MIN,2,34,2008,Kansas,2005-06,2007-08,110,96,18.5,,,9.5,9.0,.236,,,,,,,5.3,22.7,,0.8,19.3,21.8,G,Kansas,mario-chalmers-1
379,Etan Thomas,1340,DAL,1,12,2000,Syracuse,1996-97,1999-00,122,109,23.5,,,9.3,14.2,.288,,,,,,,,,,,15.7,,C,Syracuse,etan-thomas-1
380,Jeff Green,1339,BOS,1,5,2007,Georgetown,2004-05,2006-07,102,102,14.7,,,7.5,7.2,.174,,,,,,,12.7,20.8,,2.9,17.8,24.1,F,Georgetown,jeff-green-1
381,Antoine Wright,1338,NJN,1,15,2005,Texas A&M,2002-03,2004-05,87,83,8.5,,,3.8,4.6,.121,,,,,,,7.8,16.4,,0.7,13.2,26.0,F,Texas A&M,antoine-wright-1
382,Saben Lee,1338,UTA,2,38,2020,Vanderbilt,2017-18,2019-20,96,78,8.6,109,109,6.5,2.1,.116,2.8,0.7,3.5,19.1,2.1,10.5,6.2,27.7,2.4,0.7,17.9,24.9,G,Vanderbilt,saben-lee-1
383,Dante Cunningham,1334,POR,2,33,2009,Villanova,2005-06,2008-09,139,104,16.7,,,6.2,10.5,.177,,,,,,,12.0,6.6,,2.1,17.0,15.3,F,Villanova,dante-cunningham-1
384,Kobe Brown,1334,LAC,1,30,2023,Missouri,2019-20,2022-23,123,118,11.9,113,101,7.3,4.5,.153,3.9,1.7,5.6,20.9,8.0,20.1,14.0,14.0,2.5,2.4,15.1,22.4,F,Missouri,kobe-brown-1
385,Jamal Shead,1333,SAC,2,45,2024,Houston,2020-21,2023-24,138,108,18.0,112,91,8.5,9.5,.190,3.4,4.7,8.1,18.8,2.3,9.4,5.8,33.9,3.7,1.4,15.9,21.5,G,Houston,jamal-shead-1
386,Nick Johnson,1333,HOU,2,42,2014,Arizona,2011-12,2013-14,108,101,13.5,110,95,7.0,6.5,.162,3.3,4.0,7.4,18.1,2.3,12.0,7.2,18.8,2.5,2.0,13.6,22.7,G,Arizona,nick-johnson-1
387,Jared Butler,1330,NOH,2,40,2021,Baylor,2018-19,2020-21,94,81,12.5,112,97,7.6,4.9,.183,5.1,3.1,8.2,20.2,2.1,10.9,6.4,23.7,3.0,0.7,15.9,25.7,G,Baylor,jared-butler-1
388,Richard Hendrix,1327,GSW,2,49,2008,Alabama,2005-06,2007-08,95,86,14.7,,,7.9,6.8,.217,,,,,,,17.3,6.2,,3.9,13.9,18.8,F,Alabama,richard-hendrix-1
389,Isaiah Cousins,1326,SAC,2,59,2016,Oklahoma,2012-13,2015-16,137,119,10.4,104,101,4.6,5.8,.110,1.7,2.9,4.6,14.5,3.3,11.8,7.6,18.0,2.4,1.0,16.4,20.2,G,Oklahoma,isaiah-cousins-1
390,Kyle Guy,1323,NYK,2,55,2019,Virginia,2016-17,2018-19,106,78,13.7,115,96,7.5,6.2,.177,5.6,2.8,8.4,18.6,1.9,10.7,6.5,11.9,1.6,0.2,9.1,23.8,G,Virginia,kyle-guy-1
391,Terance Mann,1322,LAC,2,48,2019,Florida State,2015-16,2018-19,140,101,14.3,121,102,9.1,5.2,.158,4.1,2.5,6.5,18.6,8.5,13.6,11.1,13.7,1.7,1.0,14.8,17.2,G,Florida State,terance-mann-1
392,Taurean Prince,1321,UTA,1,12,2016,Baylor,2012-13,2015-16,129,42,10.7,110,99,6.2,4.5,.165,5.0,2.4,7.4,21.8,9.1,15.5,12.3,12.1,2.9,2.7,15.7,27.3,F,Baylor,taurean-prince-1
393,David Harrison,1317,IND,1,29,2004,Colorado,2001-02,2003-04,88,82,14.4,,,7.7,6.7,.232,,,,,,,,,,,16.1,,C,Colorado,david-harrison-1
394,Luke Babbitt,1316,MIN,1,16,2010,Nevada,2008-09,2009-10,68,68,12.0,124,104,8.4,3.6,.202,,,,27.7,6.6,19.4,13.4,11.0,1.6,1.9,11.6,26.8,F,Nevada,luke-babbitt-1
395,Damian Jones,1313,GSW,1,30,2016,Vanderbilt,2013-14,2015-16,99,95,10.1,107,98,5.2,4.9,.151,1.7,2.0,3.7,21.7,9.6,16.7,13.4,6.3,0.9,6.4,14.7,26.6,C,Vanderbilt,damian-jones-1
396,Alvin Jones III,1312,PHI,2,57,2001,Georgia Tech,1997-98,2000-01,124,118,14.5,,,4.1,10.4,.149,,,,,,,,,,,20.4,,C,Georgia Tech,alvin-jones-1
