--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,PTS,From,To,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Player-additional
142,Damon Lynn,2153,2013-14,2016-17,118,117,4225,657,1769,.371,223,544,.410,434,1225,.354,405,498,.813,.537,50,280,330,369,188,8,266,174,2153,11.7,0.8,damon-lynn-1
143,Jonathan Rodriguez,2153,2006-07,2009-10,121,120,3968,712,1490,.478,636,1245,.511,76,245,.310,653,860,.759,.567,332,734,1066,286,175,75,346,277,2153,14.3,,jonathan-rodriguez-1
144,James Bishop IV,2152,2019-20,2023-24,127,110,4112,724,1779,.407,497,1088,.457,227,691,.329,477,608,.785,.520,40,242,282,456,91,29,322,201,2152,10.0,-0.9,james-bishop-2
145,Kevin Anderson,2151,2007-08,2010-11,138,113,5003,762,1743,.437,587,1233,.476,175,510,.343,452,580,.779,.533,93,311,404,406,215,24,305,261,2151,10.5,1.1,kevin-anderson-1
146,Bryson Williams,2149,2016-17,2021-22,158,151,4199,854,1595,.535,763,1340,.569,91,255,.357,350,473,.740,.590,255,645,900,132,89,95,259,442,2149,9.6,3.5,bryson-williams-1
147,Jarod Lucas,2146,2019-20,2023-24,162,121,4667,637,1573,.405,301,695,.433,336,878,.383,536,608,.882,.576,64,292,356,182,95,1,143,198,2146,8.7,3.8,jarod-lucas-1
148,Jeremy Hazell,2146,2007-08,2010-11,114,84,3684,701,1676,.418,373,722,.517,328,954,.344,416,554,.751,.553,115,256,371,133,191,12,172,192,2146,12.3,1.7,jeremy-hazell-1
149,Stan Okoye,2146,2009-10,2012-13,123,113,3471,788,1590,.496,659,1203,.548,129,387,.333,441,665,.663,.563,296,666,962,212,152,103,305,317,2146,13.1,0.6,stan-okoye-1
150,Sean Kilpatrick,2145,2010-11,2013-14,140,105,4315,707,1687,.419,394,786,.501,313,901,.347,418,536,.780,.552,175,427,602,279,166,23,236,182,2145,10.8,9.0,sean-kilpatrick-1
151,Francis Alonso,2144,2015-16,2018-19,140,129,4031,661,1541,.429,265,564,.470,396,977,.405,426,489,.871,.605,53,240,293,324,120,15,309,310,2144,9.6,2.6,francis-alonso-1
152,Nathan Knight,2141,2016-17,2019-20,125,98,3321,765,1365,.560,713,1181,.604,52,184,.283,559,760,.736,.620,270,694,964,268,67,221,281,378,2141,14.3,4.7,nathan-knight-1
153,Marreon Jackson,2140,2017-18,2021-22,158,142,4954,690,1717,.402,335,715,.469,355,1002,.354,405,493,.822,.548,95,563,658,698,228,17,394,315,2140,10.3,3.6,marreon-jackson-1
154,Trey Calvin,2139,2019-20,2023-24,153,116,4705,784,1773,.442,540,1086,.497,244,687,.355,327,381,.858,.547,58,348,406,478,199,26,281,310,2139,9.7,0.6,trey-calvin-1
155,Antoine Agudio,2138,2004-05,2007-08,113,24,4220,732,1650,.444,397,860,.462,335,790,.424,339,473,.717,.570,89,316,405,290,120,8,305,190,2138,11.7,,antoine-agudio-1
156,Quincy Olivari,2138,2019-20,2023-24,147,106,4053,691,1676,.412,333,750,.444,358,926,.387,398,504,.790,.558,61,652,713,237,121,4,260,253,2138,9.3,2.1,quincy-olivari-1
157,Kevin Obanor,2137,2018-19,2022-23,156,136,4236,723,1443,.501,511,886,.577,212,557,.381,479,584,.820,.621,344,749,1093,114,68,79,256,365,2137,10.5,4.0,kevin-obanor-1
158,Jacob Pullen,2132,2007-08,2010-11,135,113,3978,653,1600,.408,354,772,.459,299,828,.361,527,684,.770,.554,69,253,322,455,210,9,355,274,2132,10.4,2.5,jacob-pullen-1
159,Jameel Warney,2132,2012-13,2015-16,135,131,4140,884,1483,.596,884,1483,.596,0,0,,364,615,.592,.601,474,801,1275,220,105,275,184,277,2132,15.4,8.4,jameel-warney-1
160,Ethan Happ,2130,2015-16,2018-19,139,139,4120,880,1617,.544,879,1601,.549,1,16,.063,369,682,.541,.549,360,857,1217,424,217,154,353,382,2130,13.3,11.7,ethan-happ-1
161,John-Michael Wright,2130,2019-20,2023-24,154,142,4731,697,1805,.386,396,922,.430,301,883,.341,435,562,.774,.514,121,449,570,351,156,34,260,304,2130,8.8,1.9,john-michael-wright-1
162,James Daniel,2128,2013-14,2017-18,125,91,3740,591,1613,.366,301,761,.396,290,852,.340,656,803,.817,.533,67,188,255,314,182,12,379,252,2128,9.7,2.1,james-daniel-1
163,Torrey Craig,2128,2010-11,2013-14,131,125,4061,747,1808,.413,450,909,.495,297,899,.330,337,502,.671,.520,277,667,944,236,138,101,347,326,2128,10.6,2.1,torrey-craig-1
164,DJ Horne,2123,2019-20,2023-24,160,143,4722,755,1814,.416,397,887,.448,358,927,.386,255,309,.825,.541,59,472,531,334,164,14,252,320,2123,8.4,3.7,dj-horne-1
165,Michael Ertel,2123,2017-18,2021-22,159,127,5035,766,1816,.422,473,1016,.466,293,800,.366,298,372,.801,.533,58,361,419,343,149,10,181,258,2123,8.7,0.6,michael-ertel-1
