--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,PTS,From,To,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Player-additional
166,David Kool,2122,2006-07,2009-10,125,97,4002,643,1519,.423,412,866,.476,231,653,.354,605,680,.890,.576,75,376,451,272,163,2,282,238,2122,11.4,,david-kool-1
167,Kyle Hines,2122,2004-05,2007-08,115,114,3775,853,1452,.587,849,1426,.595,4,26,.154,412,700,.589,.595,397,617,1014,144,178,327,354,317,2122,15.8,,kyle-hines-1
168,Nijal Pearson,2122,2016-17,2019-20,133,133,4438,733,1752,.418,486,1058,.459,247,694,.356,409,563,.726,.525,218,521,739,292,177,41,292,262,2122,10.9,2.5,nijal-pearson-1
169,Umoja Gibson,2122,2017-18,2022-23,161,139,4927,686,1655,.415,258,584,.442,428,1071,.400,322,384,.839,.577,56,355,411,367,232,11,301,316,2122,8.9,4.1,umoja-gibson-1
170,Nick Barbour,2121,2008-09,2011-12,119,69,3526,660,1582,.417,346,802,.431,314,780,.403,487,620,.785,.565,79,262,341,137,129,33,265,294,2121,10.3,1.7,nick-barbour-1
171,Justin Forrest,2120,2017-18,2021-22,153,124,4382,667,1802,.370,380,883,.430,287,919,.312,499,689,.724,.498,50,427,477,372,191,10,425,360,2120,7.2,-2.1,justin-forrest-1
172,Chavaughn Lewis,2119,2011-12,2014-15,123,100,4140,728,1756,.415,608,1370,.444,120,386,.311,543,810,.670,.495,130,506,636,308,243,75,407,316,2119,10.5,0.5,chavaughn-lewis-1
173,E'Twaun Moore,2119,2007-08,2010-11,139,129,4480,774,1759,.440,536,1130,.474,238,629,.378,333,454,.733,.537,149,458,607,399,162,58,288,323,2119,10.5,2.6,etwaun-moore-1
174,Walter Clayton Jr.,2117,2021-22,2024-25,139,110,3872,691,1558,.444,379,749,.506,312,809,.386,423,481,.879,.593,64,415,479,409,167,72,265,301,2117,11.3,8.3,walter-claytonjr-1
175,Sa'eed Nelson,2116,2016-17,2019-20,118,118,4355,765,1627,.470,678,1293,.524,87,334,.260,499,758,.658,.532,112,440,552,521,277,35,405,291,2116,13.0,0.5,saeed-nelson-1
176,Jon Davis,2113,2015-16,2018-19,121,117,4247,681,1567,.435,481,992,.485,200,575,.348,551,691,.797,.557,66,371,437,547,124,37,415,207,2113,11.8,0.7,jon-davis-1
177,DeAndre Kane,2110,2010-11,2013-14,132,129,4511,732,1694,.432,578,1183,.489,154,511,.301,492,817,.602,.507,205,538,743,645,173,30,438,363,2110,11.0,4.0,deandre-kane-1
178,D.J. Newbill,2105,2010-11,2014-15,131,131,4542,727,1621,.448,594,1226,.485,133,395,.337,518,715,.724,.537,243,438,681,340,131,29,342,348,2105,10.6,4.6,dj-newbill-1
179,Tyson Walker,2105,2019-20,2023-24,154,144,4697,787,1759,.447,554,1160,.478,233,599,.389,298,394,.756,.541,56,293,349,542,237,23,286,308,2105,9.7,5.0,tyson-walker-1
180,Zach Cooks,2105,2017-18,2021-22,140,98,4570,748,1766,.424,516,1077,.479,232,689,.337,377,505,.747,.525,83,463,546,308,273,12,277,214,2105,10.3,1.2,zach-cooks-1
181,Andrew Nicholson,2103,2008-09,2011-12,123,119,3672,809,1407,.575,780,1331,.586,29,76,.382,456,633,.720,.616,271,616,887,87,61,244,296,371,2103,13.0,3.7,andrew-nicholson-1
182,Deonte Burton,2102,2010-11,2013-14,130,128,4393,649,1479,.439,465,933,.498,184,546,.337,620,826,.751,.562,54,320,374,515,169,53,280,307,2102,11.9,5.1,deonte-burton-1
183,Seth Curry,2101,2008-09,2012-13,141,112,4357,682,1582,.431,357,757,.472,325,825,.394,412,498,.827,.578,84,314,398,290,173,27,225,249,2101,10.3,6.1,seth-curry-1
184,Trey Townsend,2101,2020-21,2024-25,164,159,5238,804,1611,.499,738,1404,.526,66,207,.319,427,573,.745,.558,341,686,1027,274,176,107,279,303,2101,10.5,0.9,trey-townsend-1
185,Tanner Holden,2100,2019-20,2023-24,151,120,4432,740,1388,.533,678,1222,.555,62,166,.373,558,755,.739,.601,285,623,908,336,182,37,275,310,2100,11.8,3.1,tanner-holden-1
186,Timmy Allen,2100,2018-19,2022-23,154,151,4793,759,1571,.483,729,1450,.503,30,121,.248,552,757,.729,.544,252,695,947,454,169,47,370,377,2100,10.4,4.8,timmy-allen-1
187,Courtney Lee,2099,2004-05,2007-08,119,38,3705,751,1622,.463,518,1044,.496,233,578,.403,364,447,.814,.572,199,421,620,266,226,72,299,297,2099,13.0,,courtney-lee-1
188,Keifer Sykes,2096,2011-12,2014-15,127,125,4236,713,1570,.454,600,1224,.490,113,346,.327,557,712,.782,.549,82,385,467,522,155,11,286,284,2096,12.0,3.3,keifer-sykes-1
189,Bo McCalebb,2086,2004-05,2007-08,89,32,3049,769,1581,.486,673,1301,.517,96,280,.343,452,665,.680,.550,184,270,454,295,190,12,233,217,2086,16.8,,bo-mccalebb-1
190,Alex Francis,2085,2010-11,2013-14,123,108,4141,791,1457,.543,778,1404,.554,13,53,.245,490,815,.601,.565,320,670,990,172,109,52,457,315,2085,11.1,-2.6,alex-francis-1
191,Chris Lofton,2085,2004-05,2007-08,124,91,3744,674,1496,.451,253,490,.516,421,1006,.418,316,376,.840,.623,116,297,413,213,189,9,155,188,2085,12.6,,chris-lofton-1
192,D.J. Burns Jr.,2081,2019-20,2023-24,165,129,3432,922,1608,.573,921,1597,.577,1,11,.091,236,375,.629,.583,246,444,690,257,89,102,307,426,2081,8.7,3.4,dj-burns-1
193,Jahmyl Telfort,2081,2020-21,2024-25,145,128,4854,745,1691,.441,568,1141,.498,177,550,.322,414,540,.767,.534,143,467,610,361,135,61,323,272,2081,9.5,1.3,jahmyl-telfort-1
194,Clifford Reed,2080,2008-09,2012-13,133,79,4917,685,1869,.367,476,1196,.398,209,673,.311,501,643,.779,.478,78,393,471,553,179,7,411,279,2080,9.1,-0.4,cj-reed-1
195,Dominique Morrison,2080,2008-09,2011-12,129,128,4295,687,1475,.466,524,1051,.499,163,424,.384,543,668,.813,.580,141,429,570,246,95,52,206,349,2080,11.3,2.9,dominique-morrison-1
196,Keaton Wallace,2080,2017-18,2020-21,125,110,4070,715,1781,.401,369,794,.465,346,987,.351,304,377,.806,.531,87,467,554,355,136,53,258,276,2080,10.8,1.8,keaton-wallace-1
197,Koby McEwen,2080,2016-17,2021-22,150,145,4705,628,1514,.415,364,753,.483,264,761,.347,560,718,.780,.561,67,634,701,439,127,31,393,447,2080,8.9,1.3,koby-mcewen-1
198,Tyrese Rice,2080,2005-06,2008-09,131,77,4166,642,1475,.435,397,785,.506,245,690,.355,551,669,.824,.580,78,306,384,586,161,28,411,251,2080,11.3,,tyrese-rice-1
199,Fatts Russell,2077,2017-18,2021-22,151,114,4577,665,1807,.368,456,1095,.416,209,712,.294,538,682,.789,.487,77,404,481,530,256,25,300,359,2077,9.2,3.4,fatts-russell-1
200,Jack McClinton,2077,2004-05,2008-09,123,66,3919,667,1567,.426,339,799,.424,328,768,.427,415,469,.885,.580,71,327,398,316,97,3,314,261,2077,10.4,,jack-mcclinton-1


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Stathead</a>: <a href="https://www.sports-reference.com/stathead/tiny/6FVNS?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Found with Stathead. See Full Results.</a><br>Generated 5/4/2026.
