--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,PTS,STL%,BLK%,OBPM,DBPM,PER,ORB%,DRB%,TS%,3PAr,eFG%,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
74,Brice Johnson,1716,2.0,5.5,5.5,3.5,28.1,11.3,25.1,.598,.000,.575,LAC,1,25,2016,North Carolina,2012-13,2015-16,148,80,17.2,120,93,10.4,6.8,.222,5.5,3.5,9.0,28.1,11.3,25.1,18.3,8.5,2.0,5.5,11.6,24.9,F,North Carolina,brice-johnson-1
75,Monte Morris,1708,2.7,0.9,5.3,3.3,20.5,2.7,9.2,.566,.299,.533,DEN,2,51,2017,Iowa State,2013-14,2016-17,140,121,20.8,126,104,14.7,6.1,.176,5.3,3.3,8.6,20.5,2.7,9.2,6.1,27.5,2.7,0.9,9.9,17.7,G,Iowa State,monte-morris-1
76,Joe Harris,1698,1.9,1.4,4.6,2.8,19.3,3.7,12.4,.577,.506,.548,CLE,2,33,2014,Virginia,2010-11,2013-14,135,128,17.8,112,95,10.0,7.8,.174,4.6,2.8,7.4,19.3,3.7,12.4,8.1,14.6,1.9,1.4,12.6,23.6,G,Virginia,joe-harris--1
77,Roy Devyn Marble,1694,2.8,1.0,4.0,2.1,19.3,3.6,10.8,.516,.291,.464,DEN,2,56,2014,Iowa,2010-11,2013-14,136,103,13.3,110,102,8.5,4.7,.142,4.0,2.1,6.1,19.3,3.6,10.8,7.1,21.9,2.8,1.0,12.4,24.8,G,Iowa,roy-devyn-marble-1
78,Dylan Windler,1687,1.9,2.6,4.8,1.8,23.0,6.9,22.7,.663,.487,.640,CLE,1,26,2019,Belmont,2015-16,2018-19,128,97,18.8,125,98,11.8,6.9,.200,4.8,1.8,6.6,23.0,6.9,22.7,15.3,12.2,1.9,2.6,14.2,19.9,F,Belmont,dylan-windler-1
79,Eric Paschall,1687,1.5,2.0,3.0,1.4,17.8,6.4,14.3,.574,.407,.535,GSW,2,41,2019,Villanova,2014-15,2018-19,137,109,14.2,112,103,8.7,5.4,.140,3.0,1.4,4.3,17.8,6.4,14.3,10.4,10.1,1.5,2.0,15.3,22.3,F,FordhamVillanova,eric-paschall-1
80,Alec Brown,1678,1.2,9.1,1.7,1.1,21.7,9.3,17.3,.542,.150,.495,PHO,2,50,2014,Green Bay,2010-11,2013-14,126,125,13.4,106,98,7.2,6.2,.145,1.7,1.1,2.8,21.7,9.3,17.3,13.2,7.0,1.2,9.1,14.5,25.5,F,Green Bay,alec-brown-1
81,Will Richard,1674,2.3,1.9,4.0,2.5,18.1,5.1,12.5,.601,.570,.565,MEM,2,56,2025,Florida,2021-22,2024-25,141,135,16.6,122,102,10.3,6.3,.161,4.0,2.5,6.4,18.1,5.1,12.5,9.0,8.7,2.3,1.9,11.4,18.5,G,BelmontFlorida,will-richard-2
82,Jalen Brunson,1667,1.7,0.0,5.8,2.2,22.1,1.8,8.1,.628,.396,.588,DAL,2,33,2018,Villanova,2015-16,2017-18,116,115,17.3,125,102,12.4,4.8,.206,5.8,2.2,8.0,22.1,1.8,8.1,5.1,24.3,1.7,0.0,14.1,24.0,G,Villanova,jalen-brunson-1
83,John Jenkins,1658,1.3,0.9,9.3,1.2,23.6,1.7,8.4,.648,.634,.607,ATL,1,23,2012,Vanderbilt,2009-10,2011-12,98,74,15.5,129,104,12.5,3.0,.206,9.3,1.2,10.5,23.6,1.7,8.4,5.2,8.2,1.3,0.9,9.2,24.2,G,Vanderbilt,john-jenkins-1
84,Markel Brown,1655,2.0,3.0,3.8,2.5,18.4,3.0,13.6,.545,.335,.497,MIN,2,44,2014,Oklahoma State,2010-11,2013-14,134,103,14.3,109,99,8.0,6.3,.140,3.8,2.5,6.3,18.4,3.0,13.6,8.4,16.2,2.0,3.0,13.6,22.2,G,Oklahoma State,markel-brown-1
85,Ochai Agbaji,1652,1.7,1.5,4.5,2.6,16.7,3.5,11.3,.564,.509,.542,CLE,1,14,2022,Kansas,2018-19,2021-22,122,116,14.7,111,98,8.2,6.5,.148,4.5,2.6,7.0,16.7,3.5,11.3,7.6,9.4,1.7,1.5,12.5,21.0,G,Kansas,ochai-agbaji-1
86,Darius Johnson-Odom,1649,1.7,0.5,4.8,1.1,19.0,2.1,9.7,.564,.437,.532,DAL,2,55,2012,Marquette,2009-10,2011-12,105,90,11.9,111,103,8.3,3.7,.147,4.8,1.1,5.9,19.0,2.1,9.7,5.9,17.1,1.7,0.5,13.2,26.2,G,Marquette,darius-johnson-odom-1
87,Denzel Valentine,1645,1.9,1.1,5.8,3.5,20.4,4.6,18.7,.569,.497,.544,CHI,1,14,2016,Michigan State,2012-13,2015-16,144,116,18.8,115,96,10.9,7.9,.180,5.8,3.5,9.2,20.4,4.6,18.7,12.0,29.5,1.9,1.1,18.0,22.1,G,Michigan State,denzel-valentine-1
88,Max Shulga,1639,2.2,0.7,4.1,2.5,19.1,3.5,14.6,.608,.554,.548,ORL,2,57,2025,VCU,2020-21,2024-25,162,109,18.4,121,100,11.2,7.2,.182,4.1,2.5,6.6,19.1,3.5,14.6,9.3,21.6,2.2,0.7,16.1,20.5,G,Utah StateVCU,max-shulga-1
89,Vince Edwards,1638,1.0,1.7,5.6,2.4,19.9,8.4,14.1,.581,.355,.543,UTA,2,52,2018,Purdue,2014-15,2017-18,138,127,17.8,119,100,11.3,6.5,.180,5.6,2.4,7.9,19.9,8.4,14.1,11.5,19.6,1.0,1.7,14.4,21.3,F,Purdue,vince-edwards-2
90,Grant Williams,1629,1.7,6.0,5.4,3.5,25.7,9.7,15.3,.591,.097,.530,BOS,1,22,2019,Tennessee,2016-17,2018-19,104,101,15.7,119,98,10.2,5.5,.209,5.4,3.5,8.9,25.7,9.7,15.3,12.7,14.8,1.7,6.0,13.7,26.5,F,Tennessee,grant-williams-1
91,Marshon Brooks,1629,2.5,2.5,8.8,1.5,25.8,6.4,12.3,.559,.375,.526,BOS,1,25,2011,Providence,2007-08,2010-11,113,56,11.0,118,108,8.4,2.6,.154,8.8,1.5,10.3,25.8,6.4,12.3,9.3,13.5,2.5,2.5,12.4,27.9,G,Providence,marshon-brooks-1
92,Deshaun Thomas,1628,1.0,1.0,7.4,1.3,24.1,9.0,13.8,.569,.329,.535,SAS,2,58,2013,Ohio State,2010-11,2012-13,113,77,16.6,120,97,11.5,5.1,.217,7.4,1.3,8.7,24.1,9.0,13.8,11.4,7.2,1.0,1.0,8.3,26.7,F,Ohio State,deshaun-thomas-1
93,Jamir Watkins,1626,2.9,2.6,3.4,2.6,20.1,4.9,18.1,.550,.374,.488,UTA,2,43,2025,Florida State,2020-21,2024-25,126,84,12.3,108,98,6.0,6.3,.153,3.4,2.6,6.0,20.1,4.9,18.1,11.6,15.0,2.9,2.6,15.0,27.1,F,Florida StateVCU,jamir-watkins-1
94,Justin Jackson,1626,1.3,1.4,6.4,2.0,19.5,5.9,9.3,.545,.370,.521,POR,1,15,2017,North Carolina,2014-15,2016-17,118,114,14.2,120,104,10.1,4.1,.165,6.4,2.0,8.4,19.5,5.9,9.3,7.6,15.9,1.3,1.4,9.8,22.5,F,North Carolina,justin-jackson-4
95,Maxime Raynaud,1623,1.3,3.5,4.2,1.0,22.6,9.8,26.9,.581,.258,.560,SAC,2,42,2025,Stanford,2021-22,2024-25,129,94,12.0,111,102,7.0,5.0,.150,4.2,1.0,5.2,22.6,9.8,26.9,18.4,12.3,1.3,3.5,14.8,26.4,F,Stanford,maxime-raynaud-1
96,Tyrone Wallace,1623,2.0,1.3,1.8,2.5,16.5,3.8,15.0,.485,.285,.457,UTA,2,60,2016,California,2012-13,2015-16,129,114,10.6,100,100,4.5,6.1,.104,1.8,2.5,4.3,16.5,3.8,15.0,9.5,22.1,2.0,1.3,14.3,24.9,G,California,tyrone-wallace-1
97,Ray McCallum,1618,2.9,1.0,4.7,0.6,22.8,4.2,13.1,.556,.286,.507,SAC,2,36,2013,Detroit Mercy,2010-11,2012-13,102,101,15.1,117,103,11.2,3.9,.172,4.7,0.6,5.3,22.8,4.2,13.1,8.4,25.9,2.9,1.0,13.8,23.7,G,Detroit Mercy,ray-mccallum-2
98,Skylar Mays,1617,3.0,0.7,4.0,2.2,19.1,1.8,11.4,.580,.429,.519,ATL,2,50,2020,Louisiana State,2016-17,2019-20,130,121,13.9,117,106,10.0,3.9,.140,4.0,2.2,6.1,19.1,1.8,11.4,6.7,17.1,3.0,0.7,14.6,20.0,G,Louisiana State,skylar-mays-1
99,Chaz Lanier,1613,1.6,0.7,3.4,0.1,18.0,2.6,12.0,.598,.561,.571,DET,2,37,2025,Tennessee,2020-21,2024-25,142,87,13.1,122,108,9.4,3.7,.144,3.4,0.1,3.5,18.0,2.6,12.0,7.4,9.6,1.6,0.7,8.7,21.1,G,North FloridaTennessee,chaz-lanier-1
100,Dillon Brooks,1612,1.8,1.7,4.5,1.5,21.1,6.6,11.3,.565,.295,.526,HOU,2,45,2017,Oregon,2014-15,2016-17,109,98,13.1,114,103,8.8,4.2,.166,4.5,1.5,6.0,21.1,6.6,11.3,9.0,17.9,1.8,1.7,14.1,26.4,F,Oregon,dillon-brooks-1
101,Kyle O'Quinn,1607,1.1,8.8,3.2,1.1,26.1,11.6,25.6,.602,.188,.577,ORL,2,49,2012,Norfolk State,2008-09,2011-12,129,98,15.7,115,96,9.4,6.3,.178,3.2,1.1,4.3,26.1,11.6,25.6,18.7,8.5,1.1,8.8,16.4,23.0,C,Norfolk State,kyle-oquinn-1
102,A.J. Hammons,1593,0.9,11.2,3.5,4.3,25.5,11.3,21.7,.574,.020,.541,DAL,2,46,2016,Purdue,2012-13,2015-16,132,95,13.8,109,94,7.0,6.8,.173,3.5,4.3,7.8,25.5,11.3,21.7,16.6,7.5,0.9,11.2,16.4,26.2,C,Purdue,aj-hammons-1
103,Jerome Robinson,1591,2.1,0.8,2.3,0.6,17.9,1.7,11.1,.551,.339,.514,LAC,1,13,2018,Boston College,2015-16,2017-18,90,90,8.0,105,108,5.1,2.9,.103,2.3,0.6,3.0,17.9,1.7,11.1,6.3,20.6,2.1,0.8,15.2,27.4,F,Boston College,jerome-robinson-2
104,DeAndre Bembry,1590,2.4,2.4,3.5,2.5,19.8,4.3,16.3,.528,.303,.504,ATL,1,21,2016,Saint Joseph's,2013-14,2015-16,101,100,12.8,106,99,6.4,6.3,.140,3.5,2.5,6.0,19.8,4.3,16.3,10.4,22.1,2.4,2.4,14.2,24.9,F,Saint Joseph's,deandre-bembry-1
105,Corey Kispert,1586,1.3,1.3,5.3,1.8,18.5,4.3,11.9,.626,.576,.601,WAS,1,15,2021,Gonzaga,2017-18,2020-21,137,108,17.8,126,97,11.2,6.7,.190,5.3,1.8,7.1,18.5,4.3,11.9,8.4,7.9,1.3,1.3,10.1,18.2,F,Gonzaga,corey-kispert-1
106,Justinian Jessup,1583,2.2,1.7,3.8,2.1,17.7,2.2,13.8,.584,.634,.561,GSW,2,51,2020,Boise State,2016-17,2019-20,129,120,15.4,116,100,9.1,6.3,.154,3.8,2.1,5.9,17.7,2.2,13.8,8.0,12.6,2.2,1.7,10.9,19.4,G,Boise State,justinian-jessup-1
107,Tyshawn Taylor,1580,2.5,0.7,3.8,2.3,17.2,1.4,7.4,.566,.280,.529,POR,2,41,2012,Kansas,2008-09,2011-12,146,126,15.1,108,97,8.5,6.6,.150,3.8,2.3,6.0,17.2,1.4,7.4,4.6,25.9,2.5,0.7,21.3,21.8,G,Kansas,tyshawn-taylor-1
108,Admiral Schofield,1570,1.6,1.6,3.7,1.9,18.8,5.7,17.6,.556,.373,.530,PHI,2,42,2019,Tennessee,2015-16,2018-19,132,95,12.2,111,100,6.9,5.3,.149,3.7,1.9,5.6,18.8,5.7,17.6,11.9,10.9,1.6,1.6,11.8,24.2,G,Tennessee,admiral-schofield-1
109,Kim English,1570,2.6,0.8,3.6,1.1,18.1,3.1,12.2,.551,.494,.517,DET,2,44,2012,Missouri,2008-09,2011-12,141,106,11.7,108,99,6.7,5.1,.138,3.6,1.1,4.7,18.1,3.1,12.2,7.4,10.7,2.6,0.8,14.2,23.8,G,Missouri,kim-english-1
110,Anthony Brown,1562,1.4,0.6,3.1,1.7,16.2,3.9,15.8,.556,.447,.518,LAL,2,34,2015,Stanford,2010-11,2014-15,144,105,13.9,111,101,8.1,5.9,.133,3.1,1.7,4.8,16.2,3.9,15.8,9.8,11.4,1.4,0.6,14.0,20.1,G,Stanford,anthony-brown-5
111,Nique Clifford,1559,2.1,2.7,3.0,3.6,18.3,4.9,22.0,.561,.348,.532,OKC,1,24,2025,Colorado State,2020-21,2024-25,154,122,14.9,109,96,6.6,8.3,.151,3.0,3.6,6.6,18.3,4.9,22.0,13.8,18.7,2.1,2.7,16.1,22.1,G,ColoradoColorado State,nique-clifford-1
112,Mike Scott,1538,1.3,1.4,7.1,1.7,26.6,10.4,24.2,.575,.039,.529,ATL,2,43,2012,Virginia,2007-08,2011-12,130,106,15.5,114,94,8.9,6.7,.180,7.1,1.7,8.8,26.6,10.4,24.2,16.6,8.9,1.3,1.4,13.6,24.1,F,Virginia,mike-scott-4
113,Allen Crabbe,1537,1.5,1.7,5.5,2.2,20.1,3.1,16.6,.571,.458,.533,CLE,2,31,2013,California,2010-11,2012-13,98,97,13.6,113,99,8.6,4.9,.159,5.5,2.2,7.6,20.1,3.1,16.6,10.0,13.6,1.5,1.7,11.9,23.3,G,California,allen-crabbe-1
114,Jon Diebler,1536,1.8,0.5,8.0,3.6,17.9,1.1,7.9,.622,.812,.595,POR,2,51,2011,Ohio State,2007-08,2010-11,144,114,17.3,135,99,11.2,6.2,.148,8.0,3.6,11.6,17.9,1.1,7.9,5.1,10.7,1.8,0.5,12.0,15.7,G,Ohio State,jon-diebler-1
115,Nigel Williams-Goss,1536,2.3,0.4,3.6,2.0,20.3,2.4,13.7,.546,.237,.504,UTA,2,55,2017,Gonzaga,2013-14,2016-17,100,100,13.6,111,99,8.0,5.6,.159,3.6,2.0,5.6,20.3,2.4,13.7,8.4,29.4,2.3,0.4,15.5,24.7,G,GonzagaWashington,nigel-williams-goss-1
116,Tim Hardaway Jr.,1532,1.4,1.0,4.0,1.6,18.3,2.2,13.7,.539,.475,.507,NYK,1,24,2013,Michigan,2010-11,2012-13,107,107,12.3,109,102,8.0,4.3,.138,4.0,1.6,5.6,18.3,2.2,13.7,7.9,13.1,1.4,1.0,11.4,25.2,G,Michigan,tim-hardaway-jr-1
117,Kobe Sanders,1531,1.9,1.2,1.0,0.0,16.0,2.6,10.8,.548,.382,.490,NYK,2,50,2025,Nevada,2020-21,2024-25,133,103,9.8,107,107,5.8,3.9,.106,1.0,0.0,1.0,16.0,2.6,10.8,6.7,23.1,1.9,1.2,15.9,24.2,G,Cal PolyNevada,kobe-sanders-1
118,Shelvin Mack,1527,2.1,0.3,5.6,1.0,21.0,2.4,13.7,.544,.493,.507,WAS,2,34,2011,Butler,2008-09,2010-11,108,107,13.8,110,97,7.9,5.9,.164,5.6,1.0,6.6,21.0,2.4,13.7,8.3,25.4,2.1,0.3,14.5,26.3,G,Butler,shelvin-mack-1
119,Arsalan Kazemi,1523,3.5,3.3,5.2,3.2,26.5,12.3,30.0,.604,.002,.559,WAS,2,54,2013,Oregon,2009-10,2012-13,130,110,20.4,119,90,11.5,8.9,.216,5.2,3.2,8.4,26.5,12.3,30.0,20.9,11.4,3.5,3.3,15.5,20.2,F,OregonRice,arsalan-kazemi-1
120,Jordan McRae,1521,1.5,3.3,4.8,1.8,20.0,2.9,11.7,.541,.439,.492,SAS,2,58,2014,Tennessee,2010-11,2013-14,114,74,12.0,110,101,7.6,4.4,.156,4.8,1.8,6.6,20.0,2.9,11.7,7.2,15.7,1.5,3.3,13.8,27.8,G,Tennessee,jordan-mcrae-1
121,Draymond Green,1517,3.0,3.6,6.4,5.6,25.4,9.3,26.6,.543,.217,.506,GSW,2,35,2012,Michigan State,2008-09,2011-12,145,67,19.2,112,88,9.6,9.6,.212,6.4,5.6,12.0,25.4,9.3,26.6,18.0,24.6,3.0,3.6,16.5,23.7,F,Michigan State,draymond-green-1
122,Kevin McCullar Jr.,1517,3.2,2.0,2.3,4.4,17.6,4.5,17.1,.540,.322,.491,PHO,2,56,2024,Kansas,2019-20,2023-24,138,108,15.3,107,93,6.2,9.1,.155,2.3,4.4,6.7,17.6,4.5,17.1,11.1,16.1,3.2,2.0,15.7,21.6,G,KansasTexas Tech,kevin-mccullar-1
123,Cameron Johnson,1514,1.7,1.1,5.7,2.3,19.3,4.8,12.5,.601,.565,.571,MIN,1,11,2019,North Carolina,2014-15,2018-19,135,90,13.9,125,105,9.9,4.0,.162,5.7,2.3,7.9,19.3,4.8,12.5,8.7,13.0,1.7,1.1,9.9,19.6,G,North CarolinaPittsburgh,cameron-johnson-4
124,Jalen Slawson,1513,3.1,5.6,2.1,2.9,22.8,6.4,21.0,.610,.326,.573,SAC,2,54,2023,Furman,2018-19,2022-23,153,119,17.3,115,94,9.7,7.6,.189,2.1,2.9,5.1,22.8,6.4,21.0,13.7,18.3,3.1,5.6,18.9,21.5,F,Furman,jalen-slawson-1
125,Darrun Hilliard,1511,3.0,1.5,3.7,3.5,18.5,2.4,11.1,.569,.506,.529,DET,2,38,2015,Villanova,2011-12,2014-15,132,112,14.2,113,98,8.1,6.1,.160,3.7,3.5,7.2,18.5,2.4,11.1,6.7,15.4,3.0,1.5,13.4,22.4,G,Villanova,darrun-hilliard-1
126,Ayo Dosunmu,1504,1.9,0.7,4.8,2.0,20.2,2.8,13.7,.548,.266,.516,CHI,2,38,2021,Illinois,2018-19,2020-21,90,90,11.5,109,101,7.3,4.2,.154,4.8,2.0,6.9,20.2,2.8,13.7,8.3,24.2,1.9,0.7,15.2,26.7,G,Illinois,ayo-dosunmu-1
127,Micah Peavy,1503,2.6,1.9,1.0,2.7,15.0,7.1,12.0,.505,.233,.489,WAS,2,40,2025,Georgetown,2020-21,2024-25,159,108,11.7,104,100,4.6,7.0,.114,1.0,2.7,3.6,15.0,7.1,12.0,9.5,14.9,2.6,1.9,15.0,21.1,G,GeorgetownTCUTexas Tech,micah-peavy-1
128,Tyler Zeller,1503,1.6,4.6,6.4,3.7,27.3,12.3,18.1,.597,.002,.543,DAL,1,17,2012,North Carolina,2008-09,2011-12,117,75,15.5,123,93,9.9,5.6,.231,6.4,3.7,10.2,27.3,12.3,18.1,15.1,4.9,1.6,4.6,11.6,24.1,F,North Carolina,tyler-zeller-1
129,Joel Bolomboy,1484,1.2,4.6,1.5,0.1,22.9,14.4,27.2,.598,.104,.548,UTA,2,52,2016,Weber State,2012-13,2015-16,130,90,17.5,115,94,9.6,7.8,.187,1.5,0.1,1.5,22.9,14.4,27.2,21.3,5.4,1.2,4.6,17.3,21.4,F,Weber State,joel-bolomboy-1
130,Chandler Hutchison,1478,2.3,1.1,2.6,2.5,21.2,5.6,21.1,.551,.204,.512,CHI,1,22,2018,Boise State,2014-15,2017-18,123,89,12.3,109,97,6.5,5.8,.167,2.6,2.5,5.1,21.2,5.6,21.1,13.5,18.7,2.3,1.1,15.0,26.9,G,Boise State,chandler-hutchison-1
131,Kris Joseph,1476,2.7,2.0,4.3,2.7,19.8,5.7,12.9,.546,.309,.500,BOS,2,51,2012,Syracuse,2008-09,2011-12,140,77,14.8,114,96,8.0,6.7,.159,4.3,2.7,7.0,19.8,5.7,12.9,9.5,10.6,2.7,2.0,13.8,21.9,F,Syracuse,kris-joseph-1
132,Jalen Wilson,1475,1.4,1.4,4.7,2.4,19.3,6.5,21.5,.535,.378,.494,NJN,2,51,2023,Kansas,2019-20,2022-23,104,89,13.0,110,97,7.0,6.0,.163,4.7,2.4,7.1,19.3,6.5,21.5,14.2,12.2,1.4,1.4,12.1,24.6,F,Kansas,jalen-wilson-1
133,Amari Williams,1472,2.1,8.0,3.4,3.9,26.7,11.1,28.4,.562,.030,.533,ORL,2,46,2025,Kentucky,2020-21,2024-25,141,115,13.9,109,93,6.7,7.3,.185,3.4,3.9,7.3,26.7,11.1,28.4,19.9,19.3,2.1,8.0,18.6,27.6,F,DrexelKentucky,amari-williams-2
134,Dwight Powell,1465,2.1,3.5,1.8,3.3,19.4,7.4,21.9,.533,.103,.479,CHA,2,45,2014,Stanford,2010-11,2013-14,136,105,13.0,105,95,6.1,6.9,.146,1.8,3.3,5.0,19.4,7.4,21.9,14.3,14.6,2.1,3.5,17.1,23.8,F,Stanford,dwight-powell-1
135,Pat Connaughton,1465,1.3,1.6,5.0,1.7,17.8,3.9,18.6,.587,.607,.567,NJN,2,41,2015,Notre Dame,2011-12,2014-15,139,123,15.9,121,103,10.6,5.3,.142,5.0,1.7,6.7,17.8,3.9,18.6,11.4,11.1,1.3,1.6,9.8,16.9,G,Notre Dame,pat-connaughton-1
136,Ajay Mitchell,1463,2.1,1.0,3.3,0.3,22.0,1.0,9.9,.604,.211,.546,NYK,2,38,2024,UC Santa Barbara,2021-22,2023-24,91,87,13.6,119,103,9.7,3.9,.184,3.3,0.3,3.5,22.0,1.0,9.9,5.7,27.4,2.1,1.0,14.2,25.3,G,UC Santa Barbara,ajay-mitchell-1
137,Frank Kaminsky,1458,1.7,5.2,8.4,4.6,29.6,7.9,20.7,.609,.275,.573,CHA,1,9,2015,Wisconsin,2011-12,2014-15,144,79,19.1,127,94,12.8,6.3,.259,8.4,4.6,13.0,29.6,7.9,20.7,14.4,14.9,1.7,5.2,9.2,25.5,C,Wisconsin,frank-kaminsky-1
138,Marcus Sasser,1458,2.8,0.5,5.5,3.5,19.8,1.3,8.8,.560,.640,.524,MEM,1,25,2023,Houston,2019-20,2022-23,107,93,16.6,120,93,9.9,6.7,.212,5.5,3.5,9.0,19.8,1.3,8.8,5.1,16.1,2.8,0.5,10.1,23.4,G,Houston,marcus-sasser-1
139,Justin Harper,1457,1.5,3.6,8.2,1.5,25.8,7.1,17.8,.584,.421,.564,CLE,2,32,2011,Richmond,2007-08,2010-11,137,96,13.8,118,94,8.1,5.7,.176,8.2,1.5,9.7,25.8,7.1,17.8,12.4,7.5,1.5,3.6,12.1,24.6,F,Richmond,justin-harper-1
140,Tristan Da Silva,1456,1.9,1.5,3.7,2.2,17.9,4.4,12.1,.592,.356,.562,ORL,1,18,2024,Colorado,2020-21,2023-24,124,98,12.3,114,101,7.2,5.1,.148,3.7,2.2,5.8,17.9,4.4,12.1,8.3,11.9,1.9,1.5,14.1,21.8,F,Colorado,tristan-dasilva-1
141,Chandler Parsons,1452,2.0,0.9,5.1,3.2,20.5,7.7,18.2,.560,.411,.546,HOU,2,38,2011,Florida,2007-08,2010-11,142,81,15.5,115,97,8.4,7.2,.157,5.1,3.2,8.3,20.5,7.7,18.2,13.0,19.1,2.0,0.9,15.3,19.6,F,Florida,chandler-parsons-1
142,Anton Watson,1447,3.3,2.5,4.9,4.2,22.8,8.8,15.5,.618,.154,.609,BOS,2,54,2024,Gonzaga,2019-20,2023-24,151,94,19.1,127,94,11.4,7.7,.213,4.9,4.2,9.0,22.8,8.8,15.5,12.4,12.9,3.3,2.5,12.7,18.3,F,Gonzaga,anton-watson-1
143,Aaron Holiday,1443,2.2,0.7,3.0,1.2,17.4,1.7,8.7,.580,.404,.535,IND,1,23,2018,UCLA,2015-16,2017-18,101,65,9.8,110,107,6.7,3.2,.123,3.0,1.2,4.2,17.4,1.7,8.7,5.4,25.5,2.2,0.7,19.6,23.3,G,UCLA,aaron-holiday-1
144,Jake Layman,1436,1.9,3.1,3.5,3.0,17.3,5.0,14.2,.572,.505,.536,ORL,2,47,2016,Maryland,2012-13,2015-16,141,115,14.4,113,98,7.6,6.8,.146,3.5,3.0,6.5,17.3,5.0,14.2,9.9,8.2,1.9,3.1,14.0,19.3,F,Maryland,jake-layman-1
145,Jordan Clarkson,1433,1.8,1.0,3.0,0.5,19.1,3.2,9.4,.548,.274,.484,WAS,2,46,2014,Missouri,2010-11,2013-14,93,75,10.1,109,105,6.9,3.2,.136,3.0,0.5,3.5,19.1,3.2,9.4,6.4,20.5,1.8,1.0,16.3,27.8,G,MissouriTulsa,jordan-clarkson-1
146,Solomon Hill,1430,1.9,1.3,4.3,2.7,17.9,7.8,15.8,.582,.303,.538,IND,1,23,2013,Arizona,2009-10,2012-13,139,129,15.0,112,99,9.0,6.0,.149,4.3,2.7,6.9,17.9,7.8,15.8,11.8,15.8,1.9,1.3,19.1,19.7,F,Arizona,solomon-hill-1
147,Elfrid Payton,1426,3.5,1.6,2.3,1.6,21.3,5.2,13.5,.533,.109,.500,PHI,1,10,2014,Louisiana–Lafayette,2011-12,2013-14,100,78,10.9,105,99,6.1,4.9,.139,2.3,1.6,4.0,21.3,5.2,13.5,9.2,32.0,3.5,1.6,20.1,25.6,G,Louisiana–Lafayette,elfrid-payton-1
148,KJ Simpson,1426,2.6,0.4,3.6,2.5,19.8,2.6,14.0,.546,.343,.488,CHA,2,42,2024,Colorado,2021-22,2023-24,98,66,11.6,111,101,6.9,4.7,.160,3.6,2.5,6.1,19.8,2.6,14.0,8.5,26.2,2.6,0.4,14.6,26.7,G,Colorado,kj-simpson-1
149,Lavoy Allen,1421,1.1,5.0,2.6,3.1,21.8,10.8,22.0,.562,.060,.542,PHI,2,50,2011,Temple,2007-08,2010-11,135,130,19.2,114,90,9.5,9.7,.176,2.6,3.1,5.6,21.8,10.8,22.0,16.5,14.3,1.1,5.0,13.0,19.3,F,Temple,lavoy-allen-1
150,Sion James,1420,2.5,1.8,1.3,2.4,15.0,2.5,12.7,.583,.354,.544,CHA,2,33,2025,Duke,2020-21,2024-25,153,139,15.5,116,103,8.6,6.9,.126,1.3,2.4,3.7,15.0,2.5,12.7,7.9,16.4,2.5,1.8,14.5,14.9,G,DukeTulane,sion-james-1
151,Brandon Clarke,1419,2.0,8.8,6.5,3.9,30.3,11.7,19.6,.643,.026,.642,OKC,1,21,2019,Gonzaga,2015-16,2018-19,98,69,16.4,127,94,10.4,6.0,.241,6.5,3.9,10.4,30.3,11.7,19.6,15.7,14.5,2.0,8.8,11.6,22.5,F,GonzagaSan Jose State,brandon-clarke-1
152,Keyontae Johnson,1416,2.2,1.1,4.2,2.8,20.8,6.9,20.0,.593,.256,.568,OKC,2,50,2023,Kansas State,2018-19,2022-23,108,92,13.2,112,97,7.4,5.8,.169,4.2,2.8,7.0,20.8,6.9,20.0,13.6,12.3,2.2,1.1,15.4,23.2,F,FloridaKansas State,keyontae-johnson-1
153,Lamar Patterson,1410,2.6,1.4,5.8,3.4,20.4,5.9,14.8,.549,.422,.513,MIL,2,48,2014,Pittsburgh,2009-10,2013-14,149,106,15.5,114,98,9.4,6.0,.171,5.8,3.4,9.2,20.4,5.9,14.8,10.2,24.3,2.6,1.4,16.0,22.5,G,Pittsburgh,lamar-patterson-1
154,David Roddy,1406,1.7,3.5,5.1,1.6,25.3,8.0,21.3,.600,.261,.563,PHI,1,23,2022,Colorado State,2019-20,2021-22,91,76,13.8,115,97,9.1,4.8,.203,5.1,1.6,6.7,25.3,8.0,21.3,15.0,17.5,1.7,3.5,14.6,26.7,G,Colorado State,david-roddy-1
155,Trey Thompkins III,1396,2.0,4.3,3.9,2.9,24.8,7.8,21.7,.536,.194,.504,LAC,2,37,2011,Georgia,2008-09,2010-11,89,81,10.2,106,97,5.5,4.7,.155,3.9,2.9,6.8,24.8,7.8,21.7,15.1,11.8,2.0,4.3,15.3,29.7,F,Georgia,trey-thompkins-1
