--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,PTS,STL%,BLK%,OBPM,DBPM,PER,ORB%,DRB%,TS%,3PAr,eFG%,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
18,Sam Merrill,2197,1.7,0.7,5.4,1.6,22.1,1.1,11.0,.624,.499,.575,NOH,2,60,2020,Utah State,2016-17,2019-20,131,118,22.4,126,102,16.2,6.2,.206,5.4,1.6,7.0,22.1,1.1,11.0,6.2,22.2,1.7,0.7,10.6,22.8,G,Utah State,sam-merrill-1
19,Terrence Shannon Jr.,2185,2.1,1.6,5.2,2.8,21.7,4.0,11.8,.588,.386,.526,MIN,1,27,2024,Illinois,2019-20,2023-24,146,115,20.5,118,98,13.1,7.4,.197,5.2,2.8,8.0,21.7,4.0,11.8,8.0,13.5,2.1,1.6,12.7,25.6,G,IllinoisTexas Tech,terrence-shannonjr-1
20,E'Twaun Moore,2136,2.5,1.2,7.1,3.1,22.6,4.3,11.7,.536,.360,.508,BOS,2,55,2011,Purdue,2007-08,2010-11,140,135,19.3,110,94,9.9,9.4,.171,7.1,3.1,10.2,22.6,4.3,11.7,8.0,20.2,2.5,1.2,12.7,27.5,G,Purdue,etwaun-moore-1
21,Walter Clayton Jr.,2117,2.5,1.9,5.8,2.5,21.6,1.8,11.5,.593,.519,.544,WAS,1,18,2025,Florida,2021-22,2024-25,139,110,18.5,121,102,12.4,6.1,.192,5.8,2.5,8.3,21.6,1.8,11.5,6.7,19.7,2.5,1.9,12.9,25.4,G,FloridaIona,walter-claytonjr-1
22,Andrew Nicholson,2103,0.9,6.0,5.6,1.3,27.7,8.9,20.5,.616,.055,.585,ORL,1,19,2012,St. Bonaventure,2008-09,2011-12,123,118,18.5,116,100,12.7,5.9,.202,5.6,1.3,6.8,27.7,8.9,20.5,14.9,7.4,0.9,6.0,14.8,29.1,F,St. Bonaventure,andrew-nicholson-1
23,Justin James,2061,1.8,1.9,2.6,0.3,20.1,3.3,17.9,.542,.300,.493,SAC,2,40,2019,Wyoming,2015-16,2018-19,131,73,10.7,102,103,5.8,4.9,.116,2.6,0.3,2.8,20.1,3.3,17.9,10.8,23.7,1.8,1.9,14.7,30.9,G,Wyoming,justin-james-2
24,Isaiah Canaan,2050,2.4,0.3,5.2,0.1,22.9,2.4,9.3,.606,.514,.558,HOU,2,34,2013,Murray State,2009-10,2012-13,132,83,20.4,119,98,14.3,6.1,.210,5.2,0.1,5.3,22.9,2.4,9.3,5.9,22.2,2.4,0.3,15.5,26.7,G,Murray State,isaiah-canaan-1
25,Kameron Jones,2044,2.4,0.6,6.3,2.3,21.4,1.6,11.4,.579,.522,.570,SAS,2,38,2025,Marquette,2021-22,2024-25,137,113,16.3,117,104,10.9,5.4,.170,6.3,2.3,8.6,21.4,1.6,11.4,6.5,21.2,2.4,0.6,8.9,25.7,G,Marquette,kam-jones-1
26,Mike Muscala,2036,0.9,7.9,6.3,2.6,29.5,10.1,24.9,.574,.046,.508,DAL,2,44,2013,Bucknell,2009-10,2012-13,133,118,22.9,118,92,14.6,8.3,.241,6.3,2.6,8.9,29.5,10.1,24.9,17.8,13.7,0.9,7.9,10.9,28.4,F,Bucknell,mike-muscala-1
27,Alijah Martin,2022,2.8,1.0,4.6,2.2,20.2,5.5,14.8,.572,.561,.544,TOR,2,39,2025,Florida,2020-21,2024-25,162,122,19.2,118,99,11.3,7.9,.179,4.6,2.2,6.8,20.2,5.5,14.8,10.3,10.8,2.8,1.0,11.7,23.0,G,FloridaFlorida Atlantic,alijah-martin-1
28,Tristen Newton,2013,2.1,1.1,3.8,2.2,18.7,3.8,14.4,.545,.431,.472,IND,2,49,2024,Connecticut,2019-20,2023-24,157,143,19.9,112,100,12.0,7.9,.161,3.8,2.2,6.0,18.7,3.8,14.4,9.2,29.5,2.1,1.1,17.5,22.8,G,ConnecticutEast Carolina,tristen-newton-1
29,Quinndary Weatherspoon,2012,2.8,1.2,4.7,2.3,21.8,5.4,13.3,.585,.345,.544,SAS,2,49,2019,Mississippi State,2015-16,2018-19,131,117,16.8,114,101,10.6,6.2,.165,4.7,2.3,7.0,21.8,5.4,13.3,9.4,15.5,2.8,1.2,15.1,24.8,G,Mississippi State,quinndary-weatherspoon-1
30,Kenneth Faried,2009,3.3,8.5,6.2,2.3,33.5,18.2,33.9,.579,.009,.570,DEN,1,22,2011,Morehead State,2007-08,2010-11,136,122,24.3,118,84,11.8,12.4,.245,6.2,2.3,8.5,33.5,18.2,33.9,25.8,6.0,3.3,8.5,14.9,26.1,F,Morehead State,kenneth-faried-1
31,Grayson Allen,1996,2.1,0.3,5.9,2.2,21.4,2.3,10.1,.591,.544,.533,UTA,1,21,2018,Duke,2014-15,2017-18,142,97,18.8,123,104,13.9,4.9,.189,5.9,2.2,8.1,21.4,2.3,10.1,6.4,19.6,2.1,0.3,12.4,24.1,G,Duke,grayson-allen-1
32,Norris Cole,1978,3.5,0.3,6.7,3.5,25.6,2.0,13.0,.539,.278,.480,CHI,1,28,2011,Cleveland State,2007-08,2010-11,140,106,16.9,113,98,10.5,6.4,.165,6.7,3.5,10.2,25.6,2.0,13.0,6.4,26.0,3.5,0.3,13.4,26.8,G,Cleveland State,norris-cole-1
33,Cassius Winston,1969,1.8,0.3,7.0,2.2,22.4,1.0,8.7,.601,.428,.553,OKC,2,53,2020,Michigan State,2016-17,2019-20,139,108,20.9,120,100,14.7,6.2,.209,7.0,2.2,9.2,22.4,1.0,8.7,5.2,42.8,1.8,0.3,18.6,25.5,G,Michigan State,cassius-winston-1
34,Shabazz Napier,1959,3.4,0.7,5.1,3.3,21.6,2.7,11.6,.562,.479,.501,CHA,1,24,2014,Connecticut,2010-11,2013-14,143,98,20.2,114,99,12.8,7.4,.175,5.1,3.3,8.5,21.6,2.7,11.6,7.3,29.2,3.4,0.7,16.7,24.0,G,Connecticut,shabazz-napier-1
35,Sindarius Thornwell,1941,2.8,2.2,4.4,3.3,19.2,5.7,13.0,.518,.347,.451,MIL,2,48,2017,South Carolina,2013-14,2016-17,132,132,16.1,108,97,8.2,7.9,.153,4.4,3.3,7.7,19.2,5.7,13.0,9.3,20.4,2.8,2.2,15.0,25.8,G,South Carolina,sindarius-thornwell-1
36,Payton Pritchard,1938,2.6,0.2,4.2,2.5,19.3,2.4,10.8,.569,.505,.533,BOS,1,26,2020,Oregon,2016-17,2019-20,144,140,20.8,118,101,13.6,7.2,.171,4.2,2.5,6.7,19.3,2.4,10.8,6.7,25.9,2.6,0.2,14.6,21.2,G,Oregon,payton-pritchard-1
